Hourly Profile,Season,Date (MPT),Electricity Demand
OFF PEAK,WINTER,1/1/2015 0:00,1028.338459
OFF PEAK,WINTER,1/1/2015 1:00,980.0306217
OFF PEAK,WINTER,1/1/2015 2:00,934.1124708
OFF PEAK,WINTER,1/1/2015 3:00,906.3944745
OFF PEAK,WINTER,1/1/2015 4:00,900.4779191
OFF PEAK,WINTER,1/1/2015 5:00,921.7544589
OFF PEAK,WINTER,1/1/2015 6:00,953.8222933
ON PEAK,WINTER,1/1/2015 7:00,985.5830814
ON PEAK,WINTER,1/1/2015 8:00,1017.213382
ON PEAK,WINTER,1/1/2015 9:00,1040.112779
ON PEAK,WINTER,1/1/2015 10:00,1091.02371
ON PEAK,WINTER,1/1/2015 11:00,1132.909163
ON PEAK,WINTER,1/1/2015 12:00,1158.467855
ON PEAK,WINTER,1/1/2015 13:00,1153.741163
ON PEAK,WINTER,1/1/2015 14:00,1158.446454
ON PEAK,WINTER,1/1/2015 15:00,1174.43406
ON PEAK,WINTER,1/1/2015 16:00,1238.055418
ON PEAK,WINTER,1/1/2015 17:00,1370.436902
ON PEAK,WINTER,1/1/2015 18:00,1345.874734
ON PEAK,WINTER,1/1/2015 19:00,1301.81833
ON PEAK,WINTER,1/1/2015 20:00,1259.556048
ON PEAK,WINTER,1/1/2015 21:00,1208.164799
ON PEAK,WINTER,1/1/2015 22:00,1127.709284
OFF PEAK,WINTER,1/1/2015 23:00,1036.797053
OFF PEAK,WINTER,1/2/2015 0:00,968.5430874
OFF PEAK,WINTER,1/2/2015 1:00,922.9424845
OFF PEAK,WINTER,1/2/2015 2:00,901.8134038
OFF PEAK,WINTER,1/2/2015 3:00,897.0587515
OFF PEAK,WINTER,1/2/2015 4:00,915.6945339
OFF PEAK,WINTER,1/2/2015 5:00,980.9403927
OFF PEAK,WINTER,1/2/2015 6:00,1077.644685
ON PEAK,WINTER,1/2/2015 7:00,1184.545797
ON PEAK,WINTER,1/2/2015 8:00,1265.899378
ON PEAK,WINTER,1/2/2015 9:00,1306.074604
ON PEAK,WINTER,1/2/2015 10:00,1356.242077
ON PEAK,WINTER,1/2/2015 11:00,1386.939981
ON PEAK,WINTER,1/2/2015 12:00,1393.993124
ON PEAK,WINTER,1/2/2015 13:00,1403.49621
ON PEAK,WINTER,1/2/2015 14:00,1411.357655
ON PEAK,WINTER,1/2/2015 15:00,1424.716893
ON PEAK,WINTER,1/2/2015 16:00,1495.535432
ON PEAK,WINTER,1/2/2015 17:00,1590.603803
ON PEAK,WINTER,1/2/2015 18:00,1554.649903
ON PEAK,WINTER,1/2/2015 19:00,1503.559919
ON PEAK,WINTER,1/2/2015 20:00,1446.631115
ON PEAK,WINTER,1/2/2015 21:00,1372.874168
ON PEAK,WINTER,1/2/2015 22:00,1275.453285
OFF PEAK,WINTER,1/2/2015 23:00,1176.648624
OFF PEAK,WINTER,1/3/2015 0:00,1099.211487
OFF PEAK,WINTER,1/3/2015 1:00,1042.307041
OFF PEAK,WINTER,1/3/2015 2:00,1010.367909
OFF PEAK,WINTER,1/3/2015 3:00,994.8839399
OFF PEAK,WINTER,1/3/2015 4:00,997.7185682
OFF PEAK,WINTER,1/3/2015 5:00,1023.044574
OFF PEAK,WINTER,1/3/2015 6:00,1074.697816
ON PEAK,WINTER,1/3/2015 7:00,1136.829988
ON PEAK,WINTER,1/3/2015 8:00,1199.570505
ON PEAK,WINTER,1/3/2015 9:00,1247.600117
ON PEAK,WINTER,1/3/2015 10:00,1300.2989
ON PEAK,WINTER,1/3/2015 11:00,1332.498321
ON PEAK,WINTER,1/3/2015 12:00,1345.00143
ON PEAK,WINTER,1/3/2015 13:00,1339.613214
ON PEAK,WINTER,1/3/2015 14:00,1343.240562
ON PEAK,WINTER,1/3/2015 15:00,1368.906747
ON PEAK,WINTER,1/3/2015 16:00,1437.238133
ON PEAK,WINTER,1/3/2015 17:00,1549.403941
ON PEAK,WINTER,1/3/2015 18:00,1524.329053
ON PEAK,WINTER,1/3/2015 19:00,1474.914441
ON PEAK,WINTER,1/3/2015 20:00,1419.182968
ON PEAK,WINTER,1/3/2015 21:00,1353.870706
ON PEAK,WINTER,1/3/2015 22:00,1269.102035
OFF PEAK,WINTER,1/3/2015 23:00,1184.244887
OFF PEAK,WINTER,1/4/2015 0:00,1108.615553
OFF PEAK,WINTER,1/4/2015 1:00,1057.613669
OFF PEAK,WINTER,1/4/2015 2:00,1027.53503
OFF PEAK,WINTER,1/4/2015 3:00,1010.074353
OFF PEAK,WINTER,1/4/2015 4:00,1014.866336
OFF PEAK,WINTER,1/4/2015 5:00,1035.90946
OFF PEAK,WINTER,1/4/2015 6:00,1078.57524
ON PEAK,WINTER,1/4/2015 7:00,1131.779078
ON PEAK,WINTER,1/4/2015 8:00,1187.874031
ON PEAK,WINTER,1/4/2015 9:00,1224.003505
ON PEAK,WINTER,1/4/2015 10:00,1271.267473
ON PEAK,WINTER,1/4/2015 11:00,1308.663396
ON PEAK,WINTER,1/4/2015 12:00,1336.50606
ON PEAK,WINTER,1/4/2015 13:00,1331.966042
ON PEAK,WINTER,1/4/2015 14:00,1347.780439
ON PEAK,WINTER,1/4/2015 15:00,1381.641199
ON PEAK,WINTER,1/4/2015 16:00,1493.58342
ON PEAK,WINTER,1/4/2015 17:00,1621.997548
ON PEAK,WINTER,1/4/2015 18:00,1588.950114
ON PEAK,WINTER,1/4/2015 19:00,1545.26777
ON PEAK,WINTER,1/4/2015 20:00,1480.764024
ON PEAK,WINTER,1/4/2015 21:00,1397.590515
ON PEAK,WINTER,1/4/2015 22:00,1272.465183
OFF PEAK,WINTER,1/4/2015 23:00,1157.362267
OFF PEAK,WINTER,1/5/2015 0:00,1080.533394
OFF PEAK,WINTER,1/5/2015 1:00,1038.969215
OFF PEAK,WINTER,1/5/2015 2:00,1017.793497
OFF PEAK,WINTER,1/5/2015 3:00,1017.621983
OFF PEAK,WINTER,1/5/2015 4:00,1046.309913
OFF PEAK,WINTER,1/5/2015 5:00,1135.387804
OFF PEAK,WINTER,1/5/2015 6:00,1304.94774
ON PEAK,WINTER,1/5/2015 7:00,1452.700128
ON PEAK,WINTER,1/5/2015 8:00,1500.185594
ON PEAK,WINTER,1/5/2015 9:00,1499.542309
ON PEAK,WINTER,1/5/2015 10:00,1516.521127
ON PEAK,WINTER,1/5/2015 11:00,1526.3938
ON PEAK,WINTER,1/5/2015 12:00,1525.675001
ON PEAK,WINTER,1/5/2015 13:00,1524.402505
ON PEAK,WINTER,1/5/2015 14:00,1521.543399
ON PEAK,WINTER,1/5/2015 15:00,1528.89445
ON PEAK,WINTER,1/5/2015 16:00,1585.011606
ON PEAK,WINTER,1/5/2015 17:00,1711.058321
ON PEAK,WINTER,1/5/2015 18:00,1669.218179
ON PEAK,WINTER,1/5/2015 19:00,1609.966786
ON PEAK,WINTER,1/5/2015 20:00,1545.563123
