x,y,ID,COOLING_DEGREE_DAYS,TOTAL_SNOW,CLIMATE_IDENTIFIER,LOCAL_YEAR,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,TOTAL_PRECIPITATION_FLAG,SNOW_ON_GROUND,TOTAL_RAIN,TOTAL_RAIN_FLAG,MAX_TEMPERATURE,MIN_TEMPERATURE,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_DAY,MAX_REL_HUMIDITY,MIN_TEMPERATURE_FLAG,LOCAL_DATE,STATION_NAME,DIRECTION_MAX_GUST,HEATING_DEGREE_DAYS,LOCAL_MONTH,PROVINCE_CODE,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_SNOW_FLAG,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE
-113.57944444444445,53.31,3012216.2015.1.1,0,2.6,3012216,2015,2.6,,41,,8,0,,3.1,-9.2,,,1,,,2015-01-01 00:00:00,EDMONTON INTL A,5,21.1,1,AB,,,,,,,,,-3.1
-113.57944444444445,53.31,3012216.2015.1.2,0,5.8,3012216,2015,5.8,,37,,13,0,,-9.2,-26.5,,,2,,,2015-01-02 00:00:00,EDMONTON INTL A,5,35.9,1,AB,,,,,,,,,-17.9
-113.57944444444445,53.31,3012216.2015.1.3,0,0.6,3012216,2015,0.6,,32,,17,0,,-20,-31.8,,,3,,,2015-01-03 00:00:00,EDMONTON INTL A,1,43.9,1,AB,,,,,,,,,-25.9
-113.57944444444445,53.31,3012216.2015.1.4,0,0,3012216,2015,0,,0,,18,0,,-24,-35.8,,,4,,,2015-01-04 00:00:00,EDMONTON INTL A,0,47.9,1,AB,,,,,,T,,,-29.9
-113.57944444444445,53.31,3012216.2015.1.5,0,0,3012216,2015,0,,0,,18,0,,-20.8,-28.4,,,5,,,2015-01-05 00:00:00,EDMONTON INTL A,0,42.6,1,AB,,,,,,,,,-24.6
-113.57944444444445,53.31,3012216.2015.1.6,0,0.8,3012216,2015,0.8,,0,,18,0,,-17.1,-23.2,,,6,,,2015-01-06 00:00:00,EDMONTON INTL A,0,38.2,1,AB,,,,,,,,,-20.2
-113.57944444444445,53.31,3012216.2015.1.7,0,0.4,3012216,2015,0.4,,67,,19,0,,-7.4,-21.1,,,7,,,2015-01-07 00:00:00,EDMONTON INTL A,34,32.3,1,AB,,,,,,,,,-14.3
-113.57944444444445,53.31,3012216.2015.1.8,0,0.2,3012216,2015,0.2,,65,,17,0,,-12.4,-30.2,,,8,,,2015-01-08 00:00:00,EDMONTON INTL A,33,39.3,1,AB,,,,,,,,,-21.3
-113.57944444444445,53.31,3012216.2015.1.9,0,0,3012216,2015,0,,0,,17,0,,-16.2,-31,,,9,,,2015-01-09 00:00:00,EDMONTON INTL A,0,41.6,1,AB,,,,,,,,,-23.6
-113.57944444444445,53.31,3012216.2015.1.10,0,2.6,3012216,2015,1.8,,0,,18,0,,-14.5,-18.2,,,10,,,2015-01-10 00:00:00,EDMONTON INTL A,0,34.4,1,AB,,,,,,,,,-16.4
