x,y,LOCAL_DATE,UTC_YEAR,STATION_PRESSURE,PRECIP_AMOUNT_FLAG,WEATHER_FRE_DESC,WIND_SPEED,VISIBILITY_FLAG,LOCAL_MONTH,LOCAL_HOUR,TEMP_FLAG,LOCAL_DAY,STATION_PRESSURE_FLAG,DEW_POINT_TEMP,DEW_POINT_TEMP_FLAG,UTC_DATE,WIND_DIRECTION,STATION_NAME,LOCAL_YEAR,UTC_MONTH,HUMIDEX_FLAG,WINDCHILL,PROVINCE_CODE,WEATHER_ENG_DESC,WIND_SPEED_FLAG,TEMP,RELATIVE_HUMIDITY,RELATIVE_HUMIDITY_FLAG,WIND_DIRECTION_FLAG,UTC_DAY,HUMIDEX,PRECIP_AMOUNT,ID,WINDCHILL_FLAG,VISIBILITY,CLIMATE_IDENTIFIER
-113.57944444444445,53.31,2015-01-01 00:00:00,2015,92.9,,ND,18,,1,0,,1,,-2.9,,2015-01-01T07:00:00,29,EDMONTON INTL A,2015,1,,,AB,NA,,2.2,69,,,1,,,3012216.2015.1.1.0,,24.1,3012216
-113.57944444444445,53.31,2015-01-01 01:00:00,2015,92.92,,Neige,18,,1,1,,1,,-2.4,,2015-01-01T08:00:00,29,EDMONTON INTL A,2015,1,,,AB,Snow,,2.5,70,,,1,,,3012216.2015.1.1.1,,24.1,3012216
-113.57944444444445,53.31,2015-01-01 02:00:00,2015,92.92,,Nuageux,16,,1,2,,1,,-2.2,,2015-01-01T09:00:00,30,EDMONTON INTL A,2015,1,,,AB,Cloudy,,2.7,70,,,1,,,3012216.2015.1.1.2,,24.1,3012216
-113.57944444444445,53.31,2015-01-01 03:00:00,2015,92.94,,ND,16,,1,3,,1,,-2.3,,2015-01-01T10:00:00,30,EDMONTON INTL A,2015,1,,,AB,NA,,2.4,71,,,1,,,3012216.2015.1.1.3,,24.1,3012216
-113.57944444444445,53.31,2015-01-01 04:00:00,2015,92.94,,ND,21,,1,4,,1,,-2.1,,2015-01-01T11:00:00,31,EDMONTON INTL A,2015,1,,,AB,NA,,2.8,70,,,1,,,3012216.2015.1.1.4,,24.1,3012216
-113.57944444444445,53.31,2015-01-01 05:00:00,2015,92.91,,Nuageux,16,,1,5,,1,,-1.9,,2015-01-01T12:00:00,30,EDMONTON INTL A,2015,1,,,AB,Cloudy,,2.6,72,,,1,,,3012216.2015.1.1.5,,24.1,3012216
-113.57944444444445,53.31,2015-01-01 06:00:00,2015,92.87,,ND,13,,1,6,,1,,-1.9,,2015-01-01T13:00:00,26,EDMONTON INTL A,2015,1,,,AB,NA,,1.2,80,,,1,,,3012216.2015.1.1.6,,24.1,3012216
-113.57944444444445,53.31,2015-01-01 07:00:00,2015,92.88,,Neige,15,,1,7,,1,,-1.9,,2015-01-01T14:00:00,28,EDMONTON INTL A,2015,1,,,AB,Snow,,1.9,76,,,1,,,3012216.2015.1.1.7,,24.1,3012216
-113.57944444444445,53.31,2015-01-01 08:00:00,2015,92.89,,Neige,12,,1,8,,1,,-1.7,,2015-01-01T15:00:00,29,EDMONTON INTL A,2015,1,,,AB,Snow,,1.6,79,,,1,,,3012216.2015.1.1.8,,24.1,3012216
-113.57944444444445,53.31,2015-01-01 09:00:00,2015,92.91,,ND,16,,1,9,,1,,-1.5,,2015-01-01T16:00:00,27,EDMONTON INTL A,2015,1,,,AB,NA,,1.9,78,,,1,,,3012216.2015.1.1.9,,24.1,3012216
