x,y,HUMIDEX_FLAG,TEMP,WIND_SPEED,ID,PRECIP_AMOUNT,TEMP_FLAG,WIND_SPEED_FLAG,VISIBILITY,STATION_PRESSURE_FLAG,WINDCHILL_FLAG,WEATHER_ENG_DESC,LOCAL_DATE,STATION_PRESSURE,UTC_DAY,WINDCHILL,PROVINCE_CODE,LOCAL_YEAR,DEW_POINT_TEMP_FLAG,VISIBILITY_FLAG,PRECIP_AMOUNT_FLAG,RELATIVE_HUMIDITY,UTC_DATE,STATION_NAME,LOCAL_DAY,RELATIVE_HUMIDITY_FLAG,LOCAL_HOUR,UTC_YEAR,DEW_POINT_TEMP,CLIMATE_IDENTIFIER,LOCAL_MONTH,WEATHER_FRE_DESC,WIND_DIRECTION,WIND_DIRECTION_FLAG,UTC_MONTH,HUMIDEX
-114.01333333333334,51.1225,,7.1,3,3031092.2023.4.8.2,,,,24.1,,,Mostly Cloudy,2023-04-08 02:00:00,87.81,8,,AB,2023,,,,44,2023-04-08T09:00:00,CALGARY INTL A,8,,2,2023,-4.2,3031092,4,Généralement nuageux,19,,4,
-114.01333333333334,51.1225,,6.1,6,3031092.2023.4.8.3,,,,24.1,,,NA,2023-04-08 03:00:00,87.82,8,,AB,2023,,,,48,2023-04-08T10:00:00,CALGARY INTL A,8,,3,2023,-4.1,3031092,4,ND,19,,4,
-114.01333333333334,51.1225,,6.4,9,3031092.2023.4.8.4,,,,24.1,,,NA,2023-04-08 04:00:00,87.85,8,,AB,2023,,,,47,2023-04-08T11:00:00,CALGARY INTL A,8,,4,2023,-4.1,3031092,4,ND,23,,4,
-114.01333333333334,51.1225,,5.9,13,3031092.2023.4.8.5,,,,24.1,,,Mostly Cloudy,2023-04-08 05:00:00,87.88,8,,AB,2023,,,,49,2023-04-08T12:00:00,CALGARY INTL A,8,,5,2023,-4.2,3031092,4,Généralement nuageux,22,,4,
-114.01333333333334,51.1225,,5.8,10,3031092.2023.4.8.6,,,,32.2,,,NA,2023-04-08 06:00:00,87.91,8,,AB,2023,,,,47,2023-04-08T13:00:00,CALGARY INTL A,8,,6,2023,-4.7,3031092,4,ND,23,,4,
-114.01333333333334,51.1225,,4.6,13,3031092.2023.4.8.7,,,,64.4,,,NA,2023-04-08 07:00:00,87.95,8,,AB,2023,,,,55,2023-04-08T14:00:00,CALGARY INTL A,8,,7,2023,-3.6,3031092,4,ND,20,,4,
-114.01333333333334,51.1225,,8.6,8,3031092.2023.4.8.8,,,,48.3,,,Mainly Clear,2023-04-08 08:00:00,87.99,8,,AB,2023,,,,39,2023-04-08T15:00:00,CALGARY INTL A,8,,8,2023,-4.6,3031092,4,Généralement dégagé,25,,4,
-114.01333333333334,51.1225,,11.0,11,3031092.2023.4.8.9,,,,48.3,,,NA,2023-04-08 09:00:00,88.01,8,,AB,2023,,,,31,2023-04-08T16:00:00,CALGARY INTL A,8,,9,2023,-5.4,3031092,4,ND,26,,4,
-114.01333333333334,51.1225,,12.7,21,3031092.2023.4.8.10,,,,48.3,,,NA,2023-04-08 10:00:00,88.03,8,,AB,2023,,,,25,2023-04-08T17:00:00,CALGARY INTL A,8,,10,2023,-6.6,3031092,4,ND,23,,4,
-114.01333333333334,51.1225,,12.6,31,3031092.2023.4.8.11,,,,48.3,,,Mainly Clear,2023-04-08 11:00:00,88.09,8,,AB,2023,,,,24,2023-04-08T18:00:00,CALGARY INTL A,8,,11,2023,-7.2,3031092,4,Généralement dégagé,29,,4,
-114.01333333333334,51.1225,,13.7,21,3031092.2023.4.8.12,,,,48.3,,,NA,2023-04-08 12:00:00,88.07,8,,AB,2023,,,,24,2023-04-08T19:00:00,CALGARY INTL A,8,,12,2023,-6.7,3031092,4,ND,28,,4,
-114.01333333333334,51.1225,,13.8,27,3031092.2023.4.8.13,,,,48.3,,,NA,2023-04-08 13:00:00,88.08,8,,AB,2023,,,,23,2023-04-08T20:00:00,CALGARY INTL A,8,,13,2023,-6.9,3031092,4,ND,27,,4,
-114.01333333333334,51.1225,,12.8,28,3031092.2023.4.8.14,,,,48.3,,,Mostly Cloudy,2023-04-08 14:00:00,88.1,8,,AB,2023,,,,24,2023-04-08T21:00:00,CALGARY INTL A,8,,14,2023,-7.1,3031092,4,Généralement nuageux,29,,4,
-114.01333333333334,51.1225,,12.6,28,3031092.2023.4.8.15,,,,48.3,,,NA,2023-04-08 15:00:00,88.15,8,,AB,2023,,,,24,2023-04-08T22:00:00,CALGARY INTL A,8,,15,2023,-7.4,3031092,4,ND,27,,4,
-114.01333333333334,51.1225,,11.8,21,3031092.2023.4.8.16,,,,32.2,,,NA,2023-04-08 16:00:00,88.19,8,,AB,2023,,,,26,2023-04-08T23:00:00,CALGARY INTL A,8,,16,2023,-7.2,3031092,4,ND,28,,4,
-114.01333333333334,51.1225,,11.5,9,3031092.2023.4.8.17,,,,48.3,,,Cloudy,2023-04-08 17:00:00,88.16,9,,AB,2023,,,,26,2023-04-09T00:00:00,CALGARY INTL A,8,,17,2023,-7.2,3031092,4,Nuageux,26,,4,
-114.01333333333334,51.1225,,11.1,16,3031092.2023.4.8.18,,,,32.2,,,NA,2023-04-08 18:00:00,88.16,9,,AB,2023,,,,29,2023-04-09T01:00:00,CALGARY INTL A,8,,18,2023,-6.2,3031092,4,ND,26,,4,
-114.01333333333334,51.1225,,11.3,10,3031092.2023.4.8.19,,,,24.1,,,NA,2023-04-08 19:00:00,88.18,9,,AB,2023,,,,29,2023-04-09T02:00:00,CALGARY INTL A,8,,19,2023,-6.2,3031092,4,ND,24,,4,
-114.01333333333334,51.1225,,10.2,14,3031092.2023.4.8.20,,,,16.1,,,Mostly Cloudy,2023-04-08 20:00:00,88.27,9,,AB,2023,,,,31,2023-04-09T03:00:00,CALGARY INTL A,8,,20,2023,-6.4,3031092,4,Généralement nuageux,26,,4,
-114.01333333333334,51.1225,,9.5,21,3031092.2023.4.8.21,,,,24.1,,,NA,2023-04-08 21:00:00,88.33,9,,AB,2023,,,,31,2023-04-09T04:00:00,CALGARY INTL A,8,,21,2023,-6.8,3031092,4,ND,27,,4,
