x,y,STATION_PRESSURE_FLAG,UTC_YEAR,WIND_SPEED_FLAG,WEATHER_ENG_DESC,UTC_MONTH,VISIBILITY,HUMIDEX,LOCAL_HOUR,TEMP,WIND_DIRECTION,WEATHER_FRE_DESC,UTC_DAY,ID,WINDCHILL,LOCAL_YEAR,LOCAL_DATE,UTC_DATE,RELATIVE_HUMIDITY,PRECIP_AMOUNT_FLAG,WINDCHILL_FLAG,CLIMATE_IDENTIFIER,DEW_POINT_TEMP,PROVINCE_CODE,LOCAL_DAY,PRECIP_AMOUNT,WIND_SPEED,VISIBILITY_FLAG,HUMIDEX_FLAG,TEMP_FLAG,STATION_PRESSURE,WIND_DIRECTION_FLAG,RELATIVE_HUMIDITY_FLAG,DEW_POINT_TEMP_FLAG,STATION_NAME,LOCAL_MONTH
-113.57944444444445,53.31,,2022,,NA,12,32.2,,7,-18.2,2,ND,27,3012216.2022.12.27.7,-22,2022,2022-12-27 07:00:00,2022-12-27T14:00:00,85,,,3012216,-20.1,AB,27,,5,,,,90.86,,,,EDMONTON INTL A,12
-113.57944444444445,53.31,,2022,,Cloudy,12,32.2,,8,-12.3,8,Nuageux,27,3012216.2022.12.27.8,-18,2022,2022-12-27 08:00:00,2022-12-27T15:00:00,89,,,3012216,-13.7,AB,27,,9,,,,90.77,,,,EDMONTON INTL A,12
-113.57944444444445,53.31,,2022,,NA,12,32.2,,9,-11.3,8,ND,27,3012216.2022.12.27.9,-19,2022,2022-12-27 09:00:00,2022-12-27T16:00:00,90,,,3012216,-12.6,AB,27,,16,,,,90.63,,,,EDMONTON INTL A,12
-113.57944444444445,53.31,,2022,,NA,12,16.1,,10,-10.8,10,ND,27,3012216.2022.12.27.10,-17,2022,2022-12-27 10:00:00,2022-12-27T17:00:00,90,,,3012216,-12.1,AB,27,,14,,,,90.59,,,,EDMONTON INTL A,12
-113.57944444444445,53.31,,2022,,Cloudy,12,19.3,,11,-10.5,11,Nuageux,27,3012216.2022.12.27.11,-18,2022,2022-12-27 11:00:00,2022-12-27T18:00:00,89,,,3012216,-11.9,AB,27,,16,,,,90.56,,,,EDMONTON INTL A,12
-113.57944444444445,53.31,,2022,,NA,12,19.3,,12,-10.1,10,ND,27,3012216.2022.12.27.12,-17,2022,2022-12-27 12:00:00,2022-12-27T19:00:00,87,,,3012216,-11.8,AB,27,,14,,,,90.46,,,,EDMONTON INTL A,12
-113.57944444444445,53.31,,2022,,Snow,12,3.6,,13,-9.6,11,Neige,27,3012216.2022.12.27.13,-16,2022,2022-12-27 13:00:00,2022-12-27T20:00:00,88,,,3012216,-11.3,AB,27,,14,,,,90.38,,,,EDMONTON INTL A,12
-113.57944444444445,53.31,,2022,,Snow,12,3.2,,14,-9.5,9,Neige,27,3012216.2022.12.27.14,-17,2022,2022-12-27 14:00:00,2022-12-27T21:00:00,87,,,3012216,-11.2,AB,27,,17,,,,90.3,,,,EDMONTON INTL A,12
-113.57944444444445,53.31,,2022,,Snow,12,4,,15,-9.5,6,Neige,27,3012216.2022.12.27.15,-17,2022,2022-12-27 15:00:00,2022-12-27T22:00:00,87,,,3012216,-11.2,AB,27,,17,,,,90.27,,,,EDMONTON INTL A,12
-113.57944444444445,53.31,,2022,,Snow,12,8.1,,16,-9.8,8,Neige,27,3012216.2022.12.27.16,-16,2022,2022-12-27 16:00:00,2022-12-27T23:00:00,85,,,3012216,-11.9,AB,27,,15,,,,90.28,,,,EDMONTON INTL A,12
