CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4811061,Edmonton,1994,Dwelling Units,,256612.00000
4811061,Edmonton,1995,Dwelling Units,,256612.00000
4811061,Edmonton,1996,Dwelling Units,,314581.00000
4811061,Edmonton,1997,Dwelling Units,,318670.00000
4811061,Edmonton,1998,Dwelling Units,,262464.00000
4811061,Edmonton,1999,Dwelling Units,,219483.00000
4811061,Edmonton,2000,Dwelling Units,,261658.00000
4811061,Edmonton,2001,Dwelling Units,,275816.00000
4811061,Edmonton,2002,Dwelling Units,,277749.00000
4811061,Edmonton,2003,Dwelling Units,,287495.00000
4811061,Edmonton,2004,Dwelling Units,,291111.00000
4811061,Edmonton,2005,Dwelling Units,,311663.00000
4811061,Edmonton,2006,Dwelling Units,,314362.00000
4811061,Edmonton,2007,Dwelling Units,,314177.00000
4811061,Edmonton,2008,Dwelling Units,,321747.00000
4811061,Edmonton,2009,Dwelling Units,,323300.00000
4811061,Edmonton,2010,Dwelling Units,,328867.00000
4811061,Edmonton,2011,Dwelling Units,,341674.00000
4811061,Edmonton,2012,Dwelling Units,,348140.00000
4811061,Edmonton,2013,Dwelling Units,,356063.00000
4811061,Edmonton,2014,Dwelling Units,,389527.00000
4811061,Edmonton,2015,Dwelling Units,,389527.00000
4811061,Edmonton,2016,Dwelling Units,,387950.00000
4811061,Edmonton,2017,Dwelling Units,,387950.00000
4811061,Edmonton,2018,Dwelling Units,,387950.00000
4811061,Edmonton,2019,Dwelling Units,,387950.00000
4811061,Edmonton,2020,Dwelling Units,,387950.00000
4811061,Edmonton,2021,Dwelling Units,,387950.00000
4811061,Edmonton,2022,Dwelling Units,,428857.00000
4811061,Edmonton,2023,Dwelling Units,,428857.00000
