CSDUID,CSD,Period,IndicatorSummaryDescription,Age,Age Group,Gender,UnitOfMeasure,OriginalValue,,,,Total Population
4811061,Edmonton,2001,Population,0,0-4,Female,,3905,,,2001,684092
4811061,Edmonton,2002,Population,0,0-4,Female,,3937,,,2002,699229
4811061,Edmonton,2003,Population,0,0-4,Female,,3984,,,2003,710000
4811061,Edmonton,2004,Population,0,0-4,Female,,4098,,,2004,720652
4811061,Edmonton,2005,Population,0,0-4,Female,,4265,,,2005,737596
4811061,Edmonton,2006,Population,0,0-4,Female,,4280,,,2006,758721
4811061,Edmonton,2007,Population,0,0-4,Female,,4888,,,2007,778434
4811061,Edmonton,2008,Population,0,0-4,Female,,5056,,,2008,796176
4811061,Edmonton,2009,Population,0,0-4,Female,,5161,,,2009,817073
4811061,Edmonton,2010,Population,0,0-4,Female,,5208,,,2010,830604
4811061,Edmonton,2011,Population,0,0-4,Female,,5247,,,2011,844981
4811061,Edmonton,2012,Population,0,0-4,Female,,5322,,,2012,864734
4811061,Edmonton,2013,Population,0,0-4,Female,,5592,,,2013,892692
4811061,Edmonton,2014,Population,0,0-4,Female,,5883,,,2014,923355
4811061,Edmonton,2015,Population,0,0-4,Female,,6068,,,2015,944268
4811061,Edmonton,2016,Population,0,0-4,Female,,6716,,,2016,964639
4811061,Edmonton,2017,Population,0,0-4,Female,,6547,,,2017,983238
4811061,Edmonton,2018,Population,0,0-4,Female,,6202,,,2018,1002920
4811061,Edmonton,2019,Population,0,0-4,Female,,6475,,,2019,1026499
4811061,Edmonton,2020,Population,0,0-4,Female,,6195,,,2020,1046556
4811061,Edmonton,2021,Population,0,0-4,Female,,6058,,,2021,1050945
4811061,Edmonton,2022,Population,0,0-4,Female,,5843,,,2022,1073761
4811061,Edmonton,2023,Population,0,0-4,Female,,6033,,,2023,1128811
4811061,Edmonton,2001,Population,0,0-4,Male,,4114,,,,
4811061,Edmonton,2002,Population,0,0-4,Male,,4080,,,,
4811061,Edmonton,2003,Population,0,0-4,Male,,4272,,,,
4811061,Edmonton,2004,Population,0,0-4,Male,,4381,,,,
4811061,Edmonton,2005,Population,0,0-4,Male,,4544,,,,
4811061,Edmonton,2006,Population,0,0-4,Male,,4499,,,,
4811061,Edmonton,2007,Population,0,0-4,Male,,4932,,,,
4811061,Edmonton,2008,Population,0,0-4,Male,,5230,,,,
4811061,Edmonton,2009,Population,0,0-4,Male,,5357,,,,
4811061,Edmonton,2010,Population,0,0-4,Male,,5466,,,,
4811061,Edmonton,2011,Population,0,0-4,Male,,5589,,,,
4811061,Edmonton,2012,Population,0,0-4,Male,,5661,,,,
4811061,Edmonton,2013,Population,0,0-4,Male,,5989,,,,
4811061,Edmonton,2014,Population,0,0-4,Male,,6271,,,,
4811061,Edmonton,2015,Population,0,0-4,Male,,6599,,,,
4811061,Edmonton,2016,Population,0,0-4,Male,,6517,,,,
4811061,Edmonton,2017,Population,0,0-4,Male,,6881,,,,
4811061,Edmonton,2018,Population,0,0-4,Male,,6645,,,,
4811061,Edmonton,2019,Population,0,0-4,Male,,6673,,,,
4811061,Edmonton,2020,Population,0,0-4,Male,,6648,,,,
4811061,Edmonton,2021,Population,0,0-4,Male,,6309,,,,
4811061,Edmonton,2022,Population,0,0-4,Male,,6089,,,,
4811061,Edmonton,2023,Population,0,0-4,Male,,6222,,,,
4811061,Edmonton,2001,Population,1,0-4,Female,,3868,,,,
4811061,Edmonton,2002,Population,1,0-4,Female,,3823,,,,
4811061,Edmonton,2003,Population,1,0-4,Female,,3840,,,,
4811061,Edmonton,2004,Population,1,0-4,Female,,3878,,,,
4811061,Edmonton,2005,Population,1,0-4,Female,,4028,,,,
4811061,Edmonton,2006,Population,1,0-4,Female,,4252,,,,
4811061,Edmonton,2007,Population,1,0-4,Female,,4385,,,,
4811061,Edmonton,2008,Population,1,0-4,Female,,4945,,,,
4811061,Edmonton,2009,Population,1,0-4,Female,,5118,,,,
4811061,Edmonton,2010,Population,1,0-4,Female,,5183,,,,
4811061,Edmonton,2011,Population,1,0-4,Female,,5180,,,,
4811061,Edmonton,2012,Population,1,0-4,Female,,5293,,,,
4811061,Edmonton,2013,Population,1,0-4,Female,,5414,,,,
4811061,Edmonton,2014,Population,1,0-4,Female,,5701,,,,
4811061,Edmonton,2015,Population,1,0-4,Female,,5928,,,,
4811061,Edmonton,2016,Population,1,0-4,Female,,6204,,,,
4811061,Edmonton,2017,Population,1,0-4,Female,,6707,,,,
4811061,Edmonton,2018,Population,1,0-4,Female,,6549,,,,
4811061,Edmonton,2019,Population,1,0-4,Female,,6253,,,,
4811061,Edmonton,2020,Population,1,0-4,Female,,6520,,,,
4811061,Edmonton,2021,Population,1,0-4,Female,,6129,,,,
4811061,Edmonton,2022,Population,1,0-4,Female,,6112,,,,
4811061,Edmonton,2023,Population,1,0-4,Female,,6075,,,,
4811061,Edmonton,2001,Population,1,0-4,Male,,3994,,,,
4811061,Edmonton,2002,Population,1,0-4,Male,,3972,,,,
4811061,Edmonton,2003,Population,1,0-4,Male,,3934,,,,
4811061,Edmonton,2004,Population,1,0-4,Male,,4122,,,,
4811061,Edmonton,2005,Population,1,0-4,Male,,4329,,,,
4811061,Edmonton,2006,Population,1,0-4,Male,,4519,,,,
4811061,Edmonton,2007,Population,1,0-4,Male,,4491,,,,
4811061,Edmonton,2008,Population,1,0-4,Male,,4943,,,,
4811061,Edmonton,2009,Population,1,0-4,Male,,5227,,,,
4811061,Edmonton,2010,Population,1,0-4,Male,,5325,,,,
4811061,Edmonton,2011,Population,1,0-4,Male,,5423,,,,
4811061,Edmonton,2012,Population,1,0-4,Male,,5533,,,,
4811061,Edmonton,2013,Population,1,0-4,Male,,5607,,,,
4811061,Edmonton,2014,Population,1,0-4,Male,,5969,,,,
4811061,Edmonton,2015,Population,1,0-4,Male,,6217,,,,
4811061,Edmonton,2016,Population,1,0-4,Male,,6477,,,,
4811061,Edmonton,2017,Population,1,0-4,Male,,6513,,,,
4811061,Edmonton,2018,Population,1,0-4,Male,,6889,,,,
4811061,Edmonton,2019,Population,1,0-4,Male,,6667,,,,
4811061,Edmonton,2020,Population,1,0-4,Male,,6713,,,,
4811061,Edmonton,2021,Population,1,0-4,Male,,6542,,,,
4811061,Edmonton,2022,Population,1,0-4,Male,,6389,,,,
4811061,Edmonton,2023,Population,1,0-4,Male,,6346,,,,
4811061,Edmonton,2001,Population,10,14-Oct,Female,,4250,,,,
4811061,Edmonton,2002,Population,10,14-Oct,Female,,4254,,,,
4811061,Edmonton,2003,Population,10,14-Oct,Female,,4227,,,,
4811061,Edmonton,2004,Population,10,14-Oct,Female,,4175,,,,
4811061,Edmonton,2005,Population,10,14-Oct,Female,,4183,,,,
4811061,Edmonton,2006,Population,10,14-Oct,Female,,4229,,,,
4811061,Edmonton,2007,Population,10,14-Oct,Female,,3995,,,,
4811061,Edmonton,2008,Population,10,14-Oct,Female,,4037,,,,
4811061,Edmonton,2009,Population,10,14-Oct,Female,,4086,,,,
4811061,Edmonton,2010,Population,10,14-Oct,Female,,4093,,,,
4811061,Edmonton,2011,Population,10,14-Oct,Female,,3999,,,,
4811061,Edmonton,2012,Population,10,14-Oct,Female,,4077,,,,
4811061,Edmonton,2013,Population,10,14-Oct,Female,,4306,,,,
4811061,Edmonton,2014,Population,10,14-Oct,Female,,4472,,,,
4811061,Edmonton,2015,Population,10,14-Oct,Female,,4762,,,,
4811061,Edmonton,2016,Population,10,14-Oct,Female,,4909,,,,
4811061,Edmonton,2017,Population,10,14-Oct,Female,,5322,,,,
4811061,Edmonton,2018,Population,10,14-Oct,Female,,5609,,,,
4811061,Edmonton,2019,Population,10,14-Oct,Female,,5743,,,,
4811061,Edmonton,2020,Population,10,14-Oct,Female,,5864,,,,
4811061,Edmonton,2021,Population,10,14-Oct,Female,,5896,,,,
4811061,Edmonton,2022,Population,10,14-Oct,Female,,6022,,,,
4811061,Edmonton,2023,Population,10,14-Oct,Female,,6473,,,,
4811061,Edmonton,2001,Population,10,14-Oct,Male,,4558,,,,
4811061,Edmonton,2002,Population,10,14-Oct,Male,,4431,,,,
4811061,Edmonton,2003,Population,10,14-Oct,Male,,4280,,,,
4811061,Edmonton,2004,Population,10,14-Oct,Male,,4368,,,,
4811061,Edmonton,2005,Population,10,14-Oct,Male,,4227,,,,
4811061,Edmonton,2006,Population,10,14-Oct,Male,,4378,,,,
4811061,Edmonton,2007,Population,10,14-Oct,Male,,4321,,,,
4811061,Edmonton,2008,Population,10,14-Oct,Male,,4228,,,,
4811061,Edmonton,2009,Population,10,14-Oct,Male,,4392,,,,
4811061,Edmonton,2010,Population,10,14-Oct,Male,,4262,,,,
4811061,Edmonton,2011,Population,10,14-Oct,Male,,4309,,,,
4811061,Edmonton,2012,Population,10,14-Oct,Male,,4292,,,,
4811061,Edmonton,2013,Population,10,14-Oct,Male,,4518,,,,
4811061,Edmonton,2014,Population,10,14-Oct,Male,,4880,,,,
4811061,Edmonton,2015,Population,10,14-Oct,Male,,4942,,,,
4811061,Edmonton,2016,Population,10,14-Oct,Male,,5112,,,,
4811061,Edmonton,2017,Population,10,14-Oct,Male,,5661,,,,
4811061,Edmonton,2018,Population,10,14-Oct,Male,,5978,,,,
4811061,Edmonton,2019,Population,10,14-Oct,Male,,5939,,,,
4811061,Edmonton,2020,Population,10,14-Oct,Male,,6242,,,,
4811061,Edmonton,2021,Population,10,14-Oct,Male,,6308,,,,
4811061,Edmonton,2022,Population,10,14-Oct,Male,,6470,,,,
4811061,Edmonton,2023,Population,10,14-Oct,Male,,6796,,,,
4811061,Edmonton,2001,Population,11,14-Oct,Female,,4270,,,,
4811061,Edmonton,2002,Population,11,14-Oct,Female,,4283,,,,
4811061,Edmonton,2003,Population,11,14-Oct,Female,,4278,,,,
4811061,Edmonton,2004,Population,11,14-Oct,Female,,4271,,,,
4811061,Edmonton,2005,Population,11,14-Oct,Female,,4257,,,,
4811061,Edmonton,2006,Population,11,14-Oct,Female,,4272,,,,
4811061,Edmonton,2007,Population,11,14-Oct,Female,,4290,,,,
4811061,Edmonton,2008,Population,11,14-Oct,Female,,4038,,,,
4811061,Edmonton,2009,Population,11,14-Oct,Female,,4103,,,,
4811061,Edmonton,2010,Population,11,14-Oct,Female,,4122,,,,
4811061,Edmonton,2011,Population,11,14-Oct,Female,,4125,,,,
4811061,Edmonton,2012,Population,11,14-Oct,Female,,4113,,,,
4811061,Edmonton,2013,Population,11,14-Oct,Female,,4217,,,,
4811061,Edmonton,2014,Population,11,14-Oct,Female,,4452,,,,
4811061,Edmonton,2015,Population,11,14-Oct,Female,,4601,,,,
4811061,Edmonton,2016,Population,11,14-Oct,Female,,4878,,,,
4811061,Edmonton,2017,Population,11,14-Oct,Female,,4974,,,,
4811061,Edmonton,2018,Population,11,14-Oct,Female,,5411,,,,
4811061,Edmonton,2019,Population,11,14-Oct,Female,,5711,,,,
4811061,Edmonton,2020,Population,11,14-Oct,Female,,5836,,,,
4811061,Edmonton,2021,Population,11,14-Oct,Female,,5919,,,,
4811061,Edmonton,2022,Population,11,14-Oct,Female,,5969,,,,
4811061,Edmonton,2023,Population,11,14-Oct,Female,,6254,,,,
4811061,Edmonton,2001,Population,11,14-Oct,Male,,4536,,,,
4811061,Edmonton,2002,Population,11,14-Oct,Male,,4630,,,,
4811061,Edmonton,2003,Population,11,14-Oct,Male,,4470,,,,
4811061,Edmonton,2004,Population,11,14-Oct,Male,,4290,,,,
4811061,Edmonton,2005,Population,11,14-Oct,Male,,4425,,,,
4811061,Edmonton,2006,Population,11,14-Oct,Male,,4267,,,,
4811061,Edmonton,2007,Population,11,14-Oct,Male,,4350,,,,
4811061,Edmonton,2008,Population,11,14-Oct,Male,,4303,,,,
4811061,Edmonton,2009,Population,11,14-Oct,Male,,4216,,,,
4811061,Edmonton,2010,Population,11,14-Oct,Male,,4370,,,,
4811061,Edmonton,2011,Population,11,14-Oct,Male,,4249,,,,
4811061,Edmonton,2012,Population,11,14-Oct,Male,,4321,,,,
4811061,Edmonton,2013,Population,11,14-Oct,Male,,4319,,,,
4811061,Edmonton,2014,Population,11,14-Oct,Male,,4575,,,,
4811061,Edmonton,2015,Population,11,14-Oct,Male,,4919,,,,
4811061,Edmonton,2016,Population,11,14-Oct,Male,,5051,,,,
4811061,Edmonton,2017,Population,11,14-Oct,Male,,5226,,,,
4811061,Edmonton,2018,Population,11,14-Oct,Male,,5726,,,,
4811061,Edmonton,2019,Population,11,14-Oct,Male,,6068,,,,
4811061,Edmonton,2020,Population,11,14-Oct,Male,,6023,,,,
4811061,Edmonton,2021,Population,11,14-Oct,Male,,6225,,,,
4811061,Edmonton,2022,Population,11,14-Oct,Male,,6391,,,,
4811061,Edmonton,2023,Population,11,14-Oct,Male,,6737,,,,
4811061,Edmonton,2001,Population,12,14-Oct,Female,,4275,,,,
4811061,Edmonton,2002,Population,12,14-Oct,Female,,4340,,,,
4811061,Edmonton,2003,Population,12,14-Oct,Female,,4342,,,,
4811061,Edmonton,2004,Population,12,14-Oct,Female,,4329,,,,
4811061,Edmonton,2005,Population,12,14-Oct,Female,,4373,,,,
4811061,Edmonton,2006,Population,12,14-Oct,Female,,4359,,,,
4811061,Edmonton,2007,Population,12,14-Oct,Female,,4329,,,,
