Hourly Profile,Season,Date (MPT),Electricity Demand
OFF PEAK,WINTER,1/1/2015 0:00,1375.897642
OFF PEAK,WINTER,1/1/2015 1:00,1326.3239
OFF PEAK,WINTER,1/1/2015 2:00,1265.784649
OFF PEAK,WINTER,1/1/2015 3:00,1239.067683
OFF PEAK,WINTER,1/1/2015 4:00,1224.813398
OFF PEAK,WINTER,1/1/2015 5:00,1240.719688
OFF PEAK,WINTER,1/1/2015 6:00,1267.362104
ON PEAK,WINTER,1/1/2015 7:00,1315.235165
ON PEAK,WINTER,1/1/2015 8:00,1361.354376
ON PEAK,WINTER,1/1/2015 9:00,1377.709844
ON PEAK,WINTER,1/1/2015 10:00,1428.695413
ON PEAK,WINTER,1/1/2015 11:00,1474.678448
ON PEAK,WINTER,1/1/2015 12:00,1506.118509
ON PEAK,WINTER,1/1/2015 13:00,1494.928266
ON PEAK,WINTER,1/1/2015 14:00,1496.46242
ON PEAK,WINTER,1/1/2015 15:00,1521.483257
ON PEAK,WINTER,1/1/2015 16:00,1658.591327
ON PEAK,WINTER,1/1/2015 17:00,1747.338734
ON PEAK,WINTER,1/1/2015 18:00,1703.342454
ON PEAK,WINTER,1/1/2015 19:00,1680.839927
ON PEAK,WINTER,1/1/2015 20:00,1651.840591
ON PEAK,WINTER,1/1/2015 21:00,1603.915736
ON PEAK,WINTER,1/1/2015 22:00,1527.516469
OFF PEAK,WINTER,1/1/2015 23:00,1443.033087
OFF PEAK,WINTER,1/2/2015 0:00,1368.728481
OFF PEAK,WINTER,1/2/2015 1:00,1315.075935
OFF PEAK,WINTER,1/2/2015 2:00,1302.06281
OFF PEAK,WINTER,1/2/2015 3:00,1308.575414
OFF PEAK,WINTER,1/2/2015 4:00,1319.540436
OFF PEAK,WINTER,1/2/2015 5:00,1363.685448
OFF PEAK,WINTER,1/2/2015 6:00,1456.283685
ON PEAK,WINTER,1/2/2015 7:00,1571.30289
ON PEAK,WINTER,1/2/2015 8:00,1675.503918
ON PEAK,WINTER,1/2/2015 9:00,1730.637732
ON PEAK,WINTER,1/2/2015 10:00,1769.301023
ON PEAK,WINTER,1/2/2015 11:00,1816.766377
ON PEAK,WINTER,1/2/2015 12:00,1802.55598
ON PEAK,WINTER,1/2/2015 13:00,1793.396046
ON PEAK,WINTER,1/2/2015 14:00,1783.933852
ON PEAK,WINTER,1/2/2015 15:00,1793.876325
ON PEAK,WINTER,1/2/2015 16:00,1904.149886
ON PEAK,WINTER,1/2/2015 17:00,2021.006483
ON PEAK,WINTER,1/2/2015 18:00,1983.602209
ON PEAK,WINTER,1/2/2015 19:00,1912.229568
ON PEAK,WINTER,1/2/2015 20:00,1873.181942
ON PEAK,WINTER,1/2/2015 21:00,1792.583681
ON PEAK,WINTER,1/2/2015 22:00,1701.815208
OFF PEAK,WINTER,1/2/2015 23:00,1575.026549
OFF PEAK,WINTER,1/3/2015 0:00,1512.037775
OFF PEAK,WINTER,1/3/2015 1:00,1457.725957
OFF PEAK,WINTER,1/3/2015 2:00,1419.149806
OFF PEAK,WINTER,1/3/2015 3:00,1413.781331
OFF PEAK,WINTER,1/3/2015 4:00,1418.083329
OFF PEAK,WINTER,1/3/2015 5:00,1435.009601
OFF PEAK,WINTER,1/3/2015 6:00,1465.378163
ON PEAK,WINTER,1/3/2015 7:00,1542.012783
ON PEAK,WINTER,1/3/2015 8:00,1636.112429
ON PEAK,WINTER,1/3/2015 9:00,1662.607975
ON PEAK,WINTER,1/3/2015 10:00,1712.036832
ON PEAK,WINTER,1/3/2015 11:00,1725.950504
ON PEAK,WINTER,1/3/2015 12:00,1735.730638
ON PEAK,WINTER,1/3/2015 13:00,1737.468623
ON PEAK,WINTER,1/3/2015 14:00,1730.982066
ON PEAK,WINTER,1/3/2015 15:00,1740.254499
ON PEAK,WINTER,1/3/2015 16:00,1855.69955
ON PEAK,WINTER,1/3/2015 17:00,1976.617251
ON PEAK,WINTER,1/3/2015 18:00,1941.531935
ON PEAK,WINTER,1/3/2015 19:00,1901.473289
ON PEAK,WINTER,1/3/2015 20:00,1860.295317
ON PEAK,WINTER,1/3/2015 21:00,1797.323464
ON PEAK,WINTER,1/3/2015 22:00,1730.83845
OFF PEAK,WINTER,1/3/2015 23:00,1620.511008
OFF PEAK,WINTER,1/4/2015 0:00,1542.996675
OFF PEAK,WINTER,1/4/2015 1:00,1497.19239
OFF PEAK,WINTER,1/4/2015 2:00,1465.861775
OFF PEAK,WINTER,1/4/2015 3:00,1449.030925
OFF PEAK,WINTER,1/4/2015 4:00,1445.3115
OFF PEAK,WINTER,1/4/2015 5:00,1461.598545
OFF PEAK,WINTER,1/4/2015 6:00,1498.968674
ON PEAK,WINTER,1/4/2015 7:00,1583.955245
ON PEAK,WINTER,1/4/2015 8:00,1651.729616
ON PEAK,WINTER,1/4/2015 9:00,1673.140973
ON PEAK,WINTER,1/4/2015 10:00,1703.419887
ON PEAK,WINTER,1/4/2015 11:00,1733.308647
ON PEAK,WINTER,1/4/2015 12:00,1751.990275
ON PEAK,WINTER,1/4/2015 13:00,1772.278496
ON PEAK,WINTER,1/4/2015 14:00,1776.634226
ON PEAK,WINTER,1/4/2015 15:00,1802.072751
ON PEAK,WINTER,1/4/2015 16:00,1932.48026
ON PEAK,WINTER,1/4/2015 17:00,2083.198595
ON PEAK,WINTER,1/4/2015 18:00,2042.302157
ON PEAK,WINTER,1/4/2015 19:00,1999.947796
ON PEAK,WINTER,1/4/2015 20:00,1949.136578
ON PEAK,WINTER,1/4/2015 21:00,1864.837119
ON PEAK,WINTER,1/4/2015 22:00,1750.987108
OFF PEAK,WINTER,1/4/2015 23:00,1640.835537
OFF PEAK,WINTER,1/5/2015 0:00,1555.165025
OFF PEAK,WINTER,1/5/2015 1:00,1511.397407
OFF PEAK,WINTER,1/5/2015 2:00,1504.127066
OFF PEAK,WINTER,1/5/2015 3:00,1491.714488
OFF PEAK,WINTER,1/5/2015 4:00,1513.110424
OFF PEAK,WINTER,1/5/2015 5:00,1578.775399
OFF PEAK,WINTER,1/5/2015 6:00,1735.303925
ON PEAK,WINTER,1/5/2015 7:00,1909.382673
ON PEAK,WINTER,1/5/2015 8:00,1966.592945
ON PEAK,WINTER,1/5/2015 9:00,1953.647231
ON PEAK,WINTER,1/5/2015 10:00,1964.31233
ON PEAK,WINTER,1/5/2015 11:00,1969.76107
ON PEAK,WINTER,1/5/2015 12:00,1954.163444
ON PEAK,WINTER,1/5/2015 13:00,1959.660868
ON PEAK,WINTER,1/5/2015 14:00,1953.097432
ON PEAK,WINTER,1/5/2015 15:00,1977.273899
ON PEAK,WINTER,1/5/2015 16:00,2060.199395
ON PEAK,WINTER,1/5/2015 17:00,2157.653607
ON PEAK,WINTER,1/5/2015 18:00,2109.08679
ON PEAK,WINTER,1/5/2015 19:00,2053.984508
ON PEAK,WINTER,1/5/2015 20:00,2010.751928
ON PEAK,WINTER,1/5/2015 21:00,1945.139695
ON PEAK,WINTER,1/5/2015 22:00,1804.555107
OFF PEAK,WINTER,1/5/2015 23:00,1675.56722
OFF PEAK,WINTER,1/6/2015 0:00,1592.698282
OFF PEAK,WINTER,1/6/2015 1:00,1545.608709
OFF PEAK,WINTER,1/6/2015 2:00,1499.725064
OFF PEAK,WINTER,1/6/2015 3:00,1498.312329
OFF PEAK,WINTER,1/6/2015 4:00,1494.575295
OFF PEAK,WINTER,1/6/2015 5:00,1585.826335
OFF PEAK,WINTER,1/6/2015 6:00,1738.55122
ON PEAK,WINTER,1/6/2015 7:00,1885.693062
ON PEAK,WINTER,1/6/2015 8:00,1934.7924
ON PEAK,WINTER,1/6/2015 9:00,1914.922675
ON PEAK,WINTER,1/6/2015 10:00,1917.522278
ON PEAK,WINTER,1/6/2015 11:00,1950.665281
ON PEAK,WINTER,1/6/2015 12:00,1958.972657
ON PEAK,WINTER,1/6/2015 13:00,1947.538725
ON PEAK,WINTER,1/6/2015 14:00,1937.167363
ON PEAK,WINTER,1/6/2015 15:00,1937.595679
ON PEAK,WINTER,1/6/2015 16:00,2041.039876
ON PEAK,WINTER,1/6/2015 17:00,2118.67555
ON PEAK,WINTER,1/6/2015 18:00,2092.738106
ON PEAK,WINTER,1/6/2015 19:00,2044.143975
ON PEAK,WINTER,1/6/2015 20:00,2003.651903
ON PEAK,WINTER,1/6/2015 21:00,1916.98953
ON PEAK,WINTER,1/6/2015 22:00,1759.33657
OFF PEAK,WINTER,1/6/2015 23:00,1641.322511
OFF PEAK,WINTER,1/7/2015 0:00,1579.564161
OFF PEAK,WINTER,1/7/2015 1:00,1532.758471
