CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4806016,Calgary,1994,Dwelling Units,,293383.00000
4806016,Calgary,1995,Dwelling Units,,293383.00000
4806016,Calgary,1996,Dwelling Units,,303989.00000
4806016,Calgary,1997,Dwelling Units,,312092.00000
4806016,Calgary,1998,Dwelling Units,,320907.00000
4806016,Calgary,1999,Dwelling Units,,331159.00000
4806016,Calgary,2000,Dwelling Units,,340257.00000
4806016,Calgary,2001,Dwelling Units,,348902.00000
4806016,Calgary,2002,Dwelling Units,,360129.00000
4806016,Calgary,2003,Dwelling Units,,371756.00000
4806016,Calgary,2004,Dwelling Units,,383701.00000
4806016,Calgary,2005,Dwelling Units,,395799.00000
4806016,Calgary,2006,Dwelling Units,,408543.00000
4806016,Calgary,2007,Dwelling Units,,420311.00000
4806016,Calgary,2008,Dwelling Units,,432997.00000
4806016,Calgary,2009,Dwelling Units,,438663.00000
4806016,Calgary,2010,Dwelling Units,,445455.00000
4806016,Calgary,2011,Dwelling Units,,450952.00000
4806016,Calgary,2012,Dwelling Units,,459339.00000
4806016,Calgary,2013,Dwelling Units,,468358.00000
4806016,Calgary,2014,Dwelling Units,,478223.00000
4806016,Calgary,2015,Dwelling Units,,492623.00000
4806016,Calgary,2016,Dwelling Units,,499222.00000
4806016,Calgary,2017,Dwelling Units,,506392.00000
4806016,Calgary,2018,Dwelling Units,,515391.00000
4806016,Calgary,2019,Dwelling Units,,521257.00000
4806016,Calgary,2020,Dwelling Units,,530767.00000
4806016,Calgary,2021,Dwelling Units,,540648.00000
4806016,Calgary,2022,Dwelling Units,,573805.00000
4806016,Calgary,2023,Dwelling Units,,574293.00000
