CSDUID,CSD,Period,IndicatorSummaryDescription,Age,Age Group,Gender,UnitOfMeasure,OriginalValue,,,,Total Population
4806016,Calgary,2001,Population,0,0-4,Female,,5423,,,2001,903916
4806016,Calgary,2002,Population,0,0-4,Female,,5383,,,2002,929118
4806016,Calgary,2003,Population,0,0-4,Female,,5715,,,2003,947086
4806016,Calgary,2004,Population,0,0-4,Female,,5934,,,2004,966449
4806016,Calgary,2005,Population,0,0-4,Female,,6175,,,2005,995897
4806016,Calgary,2006,Population,0,0-4,Female,,6429,,,2006,1027816
4806016,Calgary,2007,Population,0,0-4,Female,,6819,,,2007,1052667
4806016,Calgary,2008,Population,0,0-4,Female,,7138,,,2008,1079960
4806016,Calgary,2009,Population,0,0-4,Female,,7415,,,2009,1107760
4806016,Calgary,2010,Population,0,0-4,Female,,7344,,,2010,1122129
4806016,Calgary,2011,Population,0,0-4,Female,,7305,,,2011,1140691
4806016,Calgary,2012,Population,0,0-4,Female,,7360,,,2012,1171192
4806016,Calgary,2013,Population,0,0-4,Female,,7570,,,2013,1208313
4806016,Calgary,2014,Population,0,0-4,Female,,7818,,,2014,1242004
4806016,Calgary,2015,Population,0,0-4,Female,,7917,,,2015,1261453
4806016,Calgary,2016,Population,0,0-4,Female,,8066,,,2016,1278707
4806016,Calgary,2017,Population,0,0-4,Female,,7656,,,2017,1289970
4806016,Calgary,2018,Population,0,0-4,Female,,7688,,,2018,1306586
4806016,Calgary,2019,Population,0,0-4,Female,,7484,,,2019,1330058
4806016,Calgary,2020,Population,0,0-4,Female,,7420,,,2020,1351294
4806016,Calgary,2021,Population,0,0-4,Female,,7082,,,2021,1356293
4806016,Calgary,2022,Population,0,0-4,Female,,7050,,,2022,1394919
4806016,Calgary,2023,Population,0,0-4,Female,,7191,,,2023,1481466
4806016,Calgary,2001,Population,0,0-4,Male,,5561,,,,
4806016,Calgary,2002,Population,0,0-4,Male,,5586,,,,
4806016,Calgary,2003,Population,0,0-4,Male,,6043,,,,
4806016,Calgary,2004,Population,0,0-4,Male,,6326,,,,
4806016,Calgary,2005,Population,0,0-4,Male,,6382,,,,
4806016,Calgary,2006,Population,0,0-4,Male,,6652,,,,
4806016,Calgary,2007,Population,0,0-4,Male,,7157,,,,
4806016,Calgary,2008,Population,0,0-4,Male,,7511,,,,
4806016,Calgary,2009,Population,0,0-4,Male,,7770,,,,
4806016,Calgary,2010,Population,0,0-4,Male,,7823,,,,
4806016,Calgary,2011,Population,0,0-4,Male,,7804,,,,
4806016,Calgary,2012,Population,0,0-4,Male,,7800,,,,
4806016,Calgary,2013,Population,0,0-4,Male,,8082,,,,
4806016,Calgary,2014,Population,0,0-4,Male,,8114,,,,
4806016,Calgary,2015,Population,0,0-4,Male,,8360,,,,
4806016,Calgary,2016,Population,0,0-4,Male,,8516,,,,
4806016,Calgary,2017,Population,0,0-4,Male,,8200,,,,
4806016,Calgary,2018,Population,0,0-4,Male,,8071,,,,
4806016,Calgary,2019,Population,0,0-4,Male,,7712,,,,
4806016,Calgary,2020,Population,0,0-4,Male,,7699,,,,
4806016,Calgary,2021,Population,0,0-4,Male,,7448,,,,
4806016,Calgary,2022,Population,0,0-4,Male,,7572,,,,
4806016,Calgary,2023,Population,0,0-4,Male,,7597,,,,
4806016,Calgary,2001,Population,1,0-4,Female,,5369,,,,
4806016,Calgary,2002,Population,1,0-4,Female,,5478,,,,
4806016,Calgary,2003,Population,1,0-4,Female,,5365,,,,
4806016,Calgary,2004,Population,1,0-4,Female,,5702,,,,
4806016,Calgary,2005,Population,1,0-4,Female,,6036,,,,
4806016,Calgary,2006,Population,1,0-4,Female,,6234,,,,
4806016,Calgary,2007,Population,1,0-4,Female,,6299,,,,
4806016,Calgary,2008,Population,1,0-4,Female,,6674,,,,
4806016,Calgary,2009,Population,1,0-4,Female,,6991,,,,
4806016,Calgary,2010,Population,1,0-4,Female,,7304,,,,
4806016,Calgary,2011,Population,1,0-4,Female,,7323,,,,
4806016,Calgary,2012,Population,1,0-4,Female,,7459,,,,
4806016,Calgary,2013,Population,1,0-4,Female,,7502,,,,
4806016,Calgary,2014,Population,1,0-4,Female,,7651,,,,
4806016,Calgary,2015,Population,1,0-4,Female,,7853,,,,
4806016,Calgary,2016,Population,1,0-4,Female,,7960,,,,
4806016,Calgary,2017,Population,1,0-4,Female,,8070,,,,
4806016,Calgary,2018,Population,1,0-4,Female,,7673,,,,
4806016,Calgary,2019,Population,1,0-4,Female,,7758,,,,
4806016,Calgary,2020,Population,1,0-4,Female,,7633,,,,
4806016,Calgary,2021,Population,1,0-4,Female,,7359,,,,
4806016,Calgary,2022,Population,1,0-4,Female,,7235,,,,
4806016,Calgary,2023,Population,1,0-4,Female,,7408,,,,
4806016,Calgary,2001,Population,1,0-4,Male,,5557,,,,
4806016,Calgary,2002,Population,1,0-4,Male,,5653,,,,
4806016,Calgary,2003,Population,1,0-4,Male,,5644,,,,
4806016,Calgary,2004,Population,1,0-4,Male,,6107,,,,
4806016,Calgary,2005,Population,1,0-4,Male,,6418,,,,
4806016,Calgary,2006,Population,1,0-4,Male,,6491,,,,
4806016,Calgary,2007,Population,1,0-4,Male,,6488,,,,
4806016,Calgary,2008,Population,1,0-4,Male,,7028,,,,
4806016,Calgary,2009,Population,1,0-4,Male,,7401,,,,
4806016,Calgary,2010,Population,1,0-4,Male,,7662,,,,
4806016,Calgary,2011,Population,1,0-4,Male,,7714,,,,
4806016,Calgary,2012,Population,1,0-4,Male,,7866,,,,
4806016,Calgary,2013,Population,1,0-4,Male,,7909,,,,
4806016,Calgary,2014,Population,1,0-4,Male,,8110,,,,
4806016,Calgary,2015,Population,1,0-4,Male,,8000,,,,
4806016,Calgary,2016,Population,1,0-4,Male,,8177,,,,
4806016,Calgary,2017,Population,1,0-4,Male,,8494,,,,
4806016,Calgary,2018,Population,1,0-4,Male,,8269,,,,
4806016,Calgary,2019,Population,1,0-4,Male,,8156,,,,
4806016,Calgary,2020,Population,1,0-4,Male,,7819,,,,
4806016,Calgary,2021,Population,1,0-4,Male,,7659,,,,
4806016,Calgary,2022,Population,1,0-4,Male,,7646,,,,
4806016,Calgary,2023,Population,1,0-4,Male,,7878,,,,
4806016,Calgary,2001,Population,10,14-Oct,Female,,5839,,,,
4806016,Calgary,2002,Population,10,14-Oct,Female,,5938,,,,
4806016,Calgary,2003,Population,10,14-Oct,Female,,5773,,,,
4806016,Calgary,2004,Population,10,14-Oct,Female,,5706,,,,
4806016,Calgary,2005,Population,10,14-Oct,Female,,5846,,,,
4806016,Calgary,2006,Population,10,14-Oct,Female,,5898,,,,
4806016,Calgary,2007,Population,10,14-Oct,Female,,5722,,,,
4806016,Calgary,2008,Population,10,14-Oct,Female,,5976,,,,
4806016,Calgary,2009,Population,10,14-Oct,Female,,5911,,,,
4806016,Calgary,2010,Population,10,14-Oct,Female,,6090,,,,
4806016,Calgary,2011,Population,10,14-Oct,Female,,5909,,,,
