x,y,STATION_PRESSURE,LOCAL_HOUR,WEATHER_FRE_DESC,WIND_SPEED,UTC_MONTH,UTC_DAY,DEW_POINT_TEMP,DEW_POINT_TEMP_FLAG,LOCAL_YEAR,STATION_NAME,HUMIDEX_FLAG,CLIMATE_IDENTIFIER,LOCAL_MONTH,LOCAL_DAY,PRECIP_AMOUNT,WINDCHILL_FLAG,WEATHER_ENG_DESC,WINDCHILL,WIND_SPEED_FLAG,UTC_YEAR,WIND_DIRECTION_FLAG,LOCAL_DATE,STATION_PRESSURE_FLAG,RELATIVE_HUMIDITY_FLAG,ID,PROVINCE_CODE,WIND_DIRECTION,VISIBILITY,RELATIVE_HUMIDITY,VISIBILITY_FLAG,HUMIDEX,TEMP,PRECIP_AMOUNT_FLAG,TEMP_FLAG,UTC_DATE
-113.57944444444445,53.31,92.84,0,ND,7,2,22,-9.2,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,-11,,2016,,2016-02-22 00:00:00,,,3012216.2016.2.22.0,AB,21,24.1,90,,,-7.8,,,2016-02-22T07:00:00
-113.57944444444445,53.31,92.85,1,ND,7,2,22,-11.3,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,-14,,2016,,2016-02-22 01:00:00,,,3012216.2016.2.22.1,AB,23,24.1,88,,,-9.7,,,2016-02-22T08:00:00
-113.57944444444445,53.31,92.9,2,Dégagé,11,2,22,-9.8,,2016,EDMONTON INTL A,,3012216,2,22,,,Clear,-11,,2016,,2016-02-22 02:00:00,,,3012216.2016.2.22.2,AB,28,24.1,74,,,-5.9,,,2016-02-22T09:00:00
-113.57944444444445,53.31,92.93,3,ND,9,2,22,-11.0,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,-10,,2016,,2016-02-22 03:00:00,,,3012216.2016.2.22.3,AB,28,24.1,68,,,-6.0,,,2016-02-22T10:00:00
-113.57944444444445,53.31,92.97,4,ND,7,2,22,-12.6,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,-12,,2016,,2016-02-22 04:00:00,,,3012216.2016.2.22.4,AB,28,24.1,72,,,-8.4,,,2016-02-22T11:00:00
-113.57944444444445,53.31,93.01,5,Dégagé,7,2,22,-12.2,,2016,EDMONTON INTL A,,3012216,2,22,,,Clear,-13,,2016,,2016-02-22 05:00:00,,,3012216.2016.2.22.5,AB,27,24.1,78,,,-9.0,,,2016-02-22T12:00:00
-113.57944444444445,53.31,93.06,6,ND,5,2,22,-12.8,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,-12,,2016,,2016-02-22 06:00:00,,,3012216.2016.2.22.6,AB,25,24.1,73,,,-8.8,,,2016-02-22T13:00:00
-113.57944444444445,53.31,93.09,7,ND,7,2,22,-13.9,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,-14,,2016,,2016-02-22 07:00:00,,,3012216.2016.2.22.7,AB,26,24.1,74,,,-10.1,,,2016-02-22T14:00:00
-113.57944444444445,53.31,93.14,8,Généralement dégagé,8,2,22,-14.0,,2016,EDMONTON INTL A,,3012216,2,22,,,Mainly Clear,-14,,2016,,2016-02-22 08:00:00,,,3012216.2016.2.22.8,AB,25,24.1,73,,,-10.0,,,2016-02-22T15:00:00
-113.57944444444445,53.31,93.17,9,ND,13,2,22,-12.3,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,-13,,2016,,2016-02-22 09:00:00,,,3012216.2016.2.22.9,AB,26,24.1,66,,,-7.0,,,2016-02-22T16:00:00
-113.57944444444445,53.31,93.2,10,ND,22,2,22,-10.5,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,-11,,2016,,2016-02-22 10:00:00,,,3012216.2016.2.22.10,AB,27,24.1,62,,,-4.3,,,2016-02-22T17:00:00
-113.57944444444445,53.31,93.23,11,Généralement nuageux,15,2,22,-8.7,,2016,EDMONTON INTL A,,3012216,2,22,,,Mostly Cloudy,-7,,2016,,2016-02-22 11:00:00,,,3012216.2016.2.22.11,AB,27,24.1,60,,,-1.9,,,2016-02-22T18:00:00
-113.57944444444445,53.31,93.26,12,ND,16,2,22,-6.9,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,,,2016,,2016-02-22 12:00:00,,,3012216.2016.2.22.12,AB,27,24.1,59,,,0.2,,,2016-02-22T19:00:00
-113.57944444444445,53.31,93.25,13,ND,17,2,22,-6.6,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,,,2016,,2016-02-22 13:00:00,,,3012216.2016.2.22.13,AB,27,24.1,51,,,2.5,,,2016-02-22T20:00:00
-113.57944444444445,53.31,93.23,14,Généralement dégagé,21,2,22,-6.1,,2016,EDMONTON INTL A,,3012216,2,22,,,Mainly Clear,,,2016,,2016-02-22 14:00:00,,,3012216.2016.2.22.14,AB,29,24.1,50,,,3.4,,,2016-02-22T21:00:00
-113.57944444444445,53.31,93.23,15,ND,19,2,22,-5.9,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,,,2016,,2016-02-22 15:00:00,,,3012216.2016.2.22.15,AB,30,24.1,49,,,3.9,,,2016-02-22T22:00:00
-113.57944444444445,53.31,93.24,16,ND,12,2,22,-5.5,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,,,2016,,2016-02-22 16:00:00,,,3012216.2016.2.22.16,AB,28,24.1,49,,,4.3,,,2016-02-22T23:00:00
-113.57944444444445,53.31,93.24,17,Généralement dégagé,12,2,23,-5.7,,2016,EDMONTON INTL A,,3012216,2,22,,,Mainly Clear,,,2016,,2016-02-22 17:00:00,,,3012216.2016.2.22.17,AB,28,24.1,51,,,3.5,,,2016-02-23T00:00:00
-113.57944444444445,53.31,93.28,18,ND,7,2,23,-6.5,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,-4,,2016,,2016-02-22 18:00:00,,,3012216.2016.2.22.18,AB,25,24.1,68,,,-1.3,,,2016-02-23T01:00:00
-113.57944444444445,53.31,93.34,19,ND,7,2,23,-7.8,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,-5,,2016,,2016-02-22 19:00:00,,,3012216.2016.2.22.19,AB,25,24.1,67,,,-2.5,,,2016-02-23T02:00:00
-113.57944444444445,53.31,93.36,20,Dégagé,13,2,23,-8.9,,2016,EDMONTON INTL A,,3012216,2,22,,,Clear,-10,,2016,,2016-02-22 20:00:00,,,3012216.2016.2.22.20,AB,22,24.1,72,,,-4.6,,,2016-02-23T03:00:00
-113.57944444444445,53.31,93.43,21,ND,9,2,23,-9.5,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,-10,,2016,,2016-02-22 21:00:00,,,3012216.2016.2.22.21,AB,23,24.1,74,,,-5.6,,,2016-02-23T04:00:00
-113.57944444444445,53.31,93.49,22,ND,12,2,23,-9.9,,2016,EDMONTON INTL A,,3012216,2,22,,,NA,-9,,2016,,2016-02-22 22:00:00,,,3012216.2016.2.22.22,AB,24,24.1,66,,,-4.5,,,2016-02-23T05:00:00
-113.57944444444445,53.31,93.53,23,Dégagé,8,2,23,-9.8,,2016,EDMONTON INTL A,,3012216,2,22,,,Clear,-9,,2016,,2016-02-22 23:00:00,,,3012216.2016.2.22.23,AB,24,24.1,72,,,-5.5,,,2016-02-23T06:00:00
-113.57944444444445,53.31,93.6,0,ND,11,2,23,-8.7,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,-7,,2016,,2016-02-23 00:00:00,,,3012216.2016.2.23.0,AB,28,24.1,63,,,-2.6,,,2016-02-23T07:00:00
-113.57944444444445,53.31,93.64,1,ND,21,2,23,-8.6,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,-7,,2016,,2016-02-23 01:00:00,,,3012216.2016.2.23.1,AB,29,24.1,57,,,-1.1,,,2016-02-23T08:00:00
-113.57944444444445,53.31,93.68,2,Dégagé,19,2,23,-8.4,,2016,EDMONTON INTL A,,3012216,2,23,,,Clear,-7,,2016,,2016-02-23 02:00:00,,,3012216.2016.2.23.2,AB,29,24.1,61,,,-1.8,,,2016-02-23T09:00:00
-113.57944444444445,53.31,93.74,3,ND,17,2,23,-8.6,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,-7,,2016,,2016-02-23 03:00:00,,,3012216.2016.2.23.3,AB,28,24.1,59,,,-1.6,,,2016-02-23T10:00:00
-113.57944444444445,53.31,93.74,4,ND,16,2,23,-9.2,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,-7,,2016,,2016-02-23 04:00:00,,,3012216.2016.2.23.4,AB,27,24.1,58,,,-2.0,,,2016-02-23T11:00:00
-113.57944444444445,53.31,93.75,5,Dégagé,13,2,23,-9.0,,2016,EDMONTON INTL A,,3012216,2,23,,,Clear,-7,,2016,,2016-02-23 05:00:00,,,3012216.2016.2.23.5,AB,28,24.1,61,,,-2.5,,,2016-02-23T12:00:00
-113.57944444444445,53.31,93.74,6,ND,18,2,23,-10.3,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,-11,,2016,,2016-02-23 06:00:00,,,3012216.2016.2.23.6,AB,27,24.1,65,,,-4.7,,,2016-02-23T13:00:00
-113.57944444444445,53.31,93.71,7,ND,18,2,23,-10.9,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,-13,,2016,,2016-02-23 07:00:00,,,3012216.2016.2.23.7,AB,25,24.1,69,,,-6.1,,,2016-02-23T14:00:00
-113.57944444444445,53.31,93.71,8,Dégagé,14,2,23,-11.3,,2016,EDMONTON INTL A,,3012216,2,23,,,Clear,-12,,2016,,2016-02-23 08:00:00,,,3012216.2016.2.23.8,AB,26,24.1,70,,,-6.7,,,2016-02-23T15:00:00
-113.57944444444445,53.31,93.7,9,ND,19,2,23,-10.7,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,-11,,2016,,2016-02-23 09:00:00,,,3012216.2016.2.23.9,AB,27,24.1,62,,,-4.5,,,2016-02-23T16:00:00
-113.57944444444445,53.31,93.71,10,ND,15,2,23,-10.6,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,-7,,2016,,2016-02-23 10:00:00,,,3012216.2016.2.23.10,AB,27,24.1,52,,,-2.0,,,2016-02-23T17:00:00
-113.57944444444445,53.31,93.7,11,Dégagé,15,2,23,-9.6,,2016,EDMONTON INTL A,,3012216,2,23,,,Clear,-6,,2016,,2016-02-23 11:00:00,,,3012216.2016.2.23.11,AB,29,24.1,53,,,-1.2,,,2016-02-23T18:00:00
-113.57944444444445,53.31,93.68,12,ND,30,2,23,-9.1,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,,,2016,,2016-02-23 12:00:00,,,3012216.2016.2.23.12,AB,29,24.1,48,,,0.7,,,2016-02-23T19:00:00
-113.57944444444445,53.31,93.68,13,ND,41,2,23,-8.0,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,,,2016,,2016-02-23 13:00:00,,,3012216.2016.2.23.13,AB,32,24.1,50,,,1.3,,,2016-02-23T20:00:00
-113.57944444444445,53.31,93.71,14,Généralement nuageux,25,2,23,-8.1,,2016,EDMONTON INTL A,,3012216,2,23,,,Mostly Cloudy,,,2016,,2016-02-23 14:00:00,,,3012216.2016.2.23.14,AB,31,24.1,50,,,1.2,,,2016-02-23T21:00:00
-113.57944444444445,53.31,93.69,15,ND,24,2,23,-7.3,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,,,2016,,2016-02-23 15:00:00,,,3012216.2016.2.23.15,AB,29,24.1,51,,,1.8,,,2016-02-23T22:00:00
-113.57944444444445,53.31,93.68,16,ND,34,2,23,-8.7,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,,,2016,,2016-02-23 16:00:00,,,3012216.2016.2.23.16,AB,30,24.1,46,,,1.7,,,2016-02-23T23:00:00
-113.57944444444445,53.31,93.69,17,Généralement dégagé,18,2,24,-8.1,,2016,EDMONTON INTL A,,3012216,2,23,,,Mainly Clear,,,2016,,2016-02-23 17:00:00,,,3012216.2016.2.23.17,AB,29,24.1,51,,,0.9,,,2016-02-24T00:00:00
-113.57944444444445,53.31,93.7,18,ND,16,2,24,-9.0,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,-6,,2016,,2016-02-23 18:00:00,,,3012216.2016.2.23.18,AB,28,24.1,55,,,-1.1,,,2016-02-24T01:00:00
-113.57944444444445,53.31,93.72,19,ND,10,2,24,-10.3,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,-7,,2016,,2016-02-23 19:00:00,,,3012216.2016.2.23.19,AB,28,24.1,58,,,-3.2,,,2016-02-24T02:00:00
-113.57944444444445,53.31,93.75,20,Généralement dégagé,8,2,24,-11.4,,2016,EDMONTON INTL A,,3012216,2,23,,,Mainly Clear,-10,,2016,,2016-02-23 20:00:00,,,3012216.2016.2.23.20,AB,29,24.1,65,,,-5.8,,,2016-02-24T03:00:00
-113.57944444444445,53.31,93.79,21,ND,11,2,24,-11.2,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,-9,,2016,,2016-02-23 21:00:00,,,3012216.2016.2.23.21,AB,29,24.1,60,,,-4.6,,,2016-02-24T04:00:00
-113.57944444444445,53.31,93.85,22,ND,12,2,24,-12.6,,2016,EDMONTON INTL A,,3012216,2,23,,,NA,-11,,2016,,2016-02-23 22:00:00,,,3012216.2016.2.23.22,AB,29,24.1,59,,,-5.8,,,2016-02-24T05:00:00
-113.57944444444445,53.31,93.89,23,Généralement dégagé,8,2,24,-12.9,,2016,EDMONTON INTL A,,3012216,2,23,,,Mainly Clear,-12,,2016,,2016-02-23 23:00:00,,,3012216.2016.2.23.23,AB,29,24.1,68,,,-8.0,,,2016-02-24T06:00:00
-113.57944444444445,53.31,93.94,0,ND,11,2,24,-12.6,,2016,EDMONTON INTL A,,3012216,2,24,,,NA,-13,,2016,,2016-02-24 00:00:00,,,3012216.2016.2.24.0,AB,28,24.1,68,,,-7.7,,,2016-02-24T07:00:00
-113.57944444444445,53.31,93.97,1,ND,8,2,24,-13.1,,2016,EDMONTON INTL A,,3012216,2,24,,,NA,-12,,2016,,2016-02-24 01:00:00,,,3012216.2016.2.24.1,AB,24,24.1,67,,,-8.0,,,2016-02-24T08:00:00
-113.57944444444445,53.31,94.01,2,Généralement dégagé,7,2,24,-13.7,,2016,EDMONTON INTL A,,3012216,2,24,,,Mainly Clear,-13,,2016,,2016-02-24 02:00:00,,,3012216.2016.2.24.2,AB,23,24.1,69,,,-9.0,,,2016-02-24T09:00:00
-113.57944444444445,53.31,94.04,3,ND,7,2,24,-14.2,,2016,EDMONTON INTL A,,3012216,2,24,,,NA,-14,,2016,,2016-02-24 03:00:00,,,3012216.2016.2.24.3,AB,21,24.1,70,,,-9.7,,,2016-02-24T10:00:00
-113.57944444444445,53.31,94.05,4,ND,5,2,24,-14.8,,2016,EDMONTON INTL A,,3012216,2,24,,,NA,-14,,2016,,2016-02-24 04:00:00,,,3012216.2016.2.24.4,AB,23,24.1,73,,,-10.9,,,2016-02-24T11:00:00
-113.57944444444445,53.31,94.06,5,Généralement dégagé,5,2,24,-15.8,,2016,EDMONTON INTL A,,3012216,2,24,,,Mainly Clear,-15,,2016,,2016-02-24 05:00:00,,,3012216.2016.2.24.5,AB,21,24.1,71,,,-11.5,,,2016-02-24T12:00:00
-113.57944444444445,53.31,94.08,6,ND,9,2,24,-16.6,,2016,EDMONTON INTL A,,3012216,2,24,,,NA,-18,,2016,,2016-02-24 06:00:00,,,3012216.2016.2.24.6,AB,20,24.1,74,,,-12.9,,,2016-02-24T13:00:00
-113.57944444444445,53.31,94.07,7,ND,9,2,24,-15.8,,2016,EDMONTON INTL A,,3012216,2,24,,,NA,-17,,2016,,2016-02-24 07:00:00,,,3012216.2016.2.24.7,AB,21,24.1,73,,,-11.9,,,2016-02-24T14:00:00
-113.57944444444445,53.31,94.1,8,Généralement dégagé,4,2,24,-17.1,,2016,EDMONTON INTL A,,3012216,2,24,,,Mainly Clear,-15,,2016,,2016-02-24 08:00:00,,,3012216.2016.2.24.8,AB,22,24.1,69,,,-12.5,,,2016-02-24T15:00:00
