x,y,STATION_NAME,LOCAL_DATE,HUMIDEX,CLIMATE_IDENTIFIER,WEATHER_FRE_DESC,HUMIDEX_FLAG,ID,LOCAL_HOUR,UTC_YEAR,WEATHER_ENG_DESC,UTC_DATE,VISIBILITY_FLAG,TEMP,WINDCHILL,STATION_PRESSURE_FLAG,UTC_MONTH,TEMP_FLAG,STATION_PRESSURE,VISIBILITY,PRECIP_AMOUNT_FLAG,DEW_POINT_TEMP,LOCAL_YEAR,WIND_SPEED,DEW_POINT_TEMP_FLAG,UTC_DAY,PRECIP_AMOUNT,RELATIVE_HUMIDITY_FLAG,WIND_DIRECTION_FLAG,WINDCHILL_FLAG,WIND_SPEED_FLAG,LOCAL_MONTH,RELATIVE_HUMIDITY,PROVINCE_CODE,WIND_DIRECTION,LOCAL_DAY
-114.01333333333334,51.1225,CALGARY INTL A,2016-05-31 13:00:00,,3031092,ND,,3031092.2016.5.31.13,13,2016,NA,2016-05-31T20:00:00,,14.9,,,5,,89.55,64.4,,1.9,2016,0,,31,,,,,,5,41,AB,0,31
-114.01333333333334,51.1225,CALGARY INTL A,2016-05-31 14:00:00,,3031092,Généralement dégagé,,3031092.2016.5.31.14,14,2016,Mainly Clear,2016-05-31T21:00:00,,16.1,,,5,,89.48,64.4,,1.1,2016,5,,31,,,,,,5,36,AB,1,31
-114.01333333333334,51.1225,CALGARY INTL A,2016-05-31 15:00:00,,3031092,ND,,3031092.2016.5.31.15,15,2016,NA,2016-05-31T22:00:00,,16.8,,,5,,89.41,48.3,,-0.3,2016,14,,31,,,,,,5,31,AB,6,31
-114.01333333333334,51.1225,CALGARY INTL A,2016-05-31 16:00:00,,3031092,ND,,3031092.2016.5.31.16,16,2016,NA,2016-05-31T23:00:00,,17.3,,,5,,89.35,48.3,,1.0,2016,16,,31,,,,,,5,33,AB,19,31
-114.01333333333334,51.1225,CALGARY INTL A,2016-05-31 17:00:00,,3031092,Généralement dégagé,,3031092.2016.5.31.17,17,2016,Mainly Clear,2016-06-01T00:00:00,,16.7,,,6,,89.32,64.4,,0.5,2016,0,,1,,,,,,5,33,AB,0,31
-114.01333333333334,51.1225,CALGARY INTL A,2016-05-31 18:00:00,,3031092,ND,,3031092.2016.5.31.18,18,2016,NA,2016-06-01T01:00:00,,16.9,,,6,,89.26,64.4,,1.5,2016,16,,1,,,,,,5,35,AB,13,31
-114.01333333333334,51.1225,CALGARY INTL A,2016-05-31 19:00:00,,3031092,ND,,3031092.2016.5.31.19,19,2016,NA,2016-06-01T02:00:00,,16.2,,,6,,89.24,48.3,,1.2,2016,21,,1,,,,,,5,36,AB,15,31
-114.01333333333334,51.1225,CALGARY INTL A,2016-05-31 20:00:00,,3031092,Généralement dégagé,,3031092.2016.5.31.20,20,2016,Mainly Clear,2016-06-01T03:00:00,,15.0,,,6,,89.22,64.4,,1.2,2016,20,,1,,,,,,5,39,AB,15,31
-114.01333333333334,51.1225,CALGARY INTL A,2016-05-31 21:00:00,,3031092,ND,,3031092.2016.5.31.21,21,2016,NA,2016-06-01T04:00:00,,13.8,,,6,,89.2,24.1,,1.5,2016,20,,1,,,,,,5,43,AB,14,31
-114.01333333333334,51.1225,CALGARY INTL A,2016-05-31 22:00:00,,3031092,ND,,3031092.2016.5.31.22,22,2016,NA,2016-06-01T05:00:00,,12.5,,,6,,89.19,24.1,,1.9,2016,17,,1,,,,,,5,48,AB,15,31
-114.01333333333334,51.1225,CALGARY INTL A,2016-06-01 00:00:00,,3031092,ND,,3031092.2016.6.1.0,0,2016,NA,2016-06-01T07:00:00,,9.5,,,6,,89.11,24.1,,2.6,2016,15,,1,,,,,,6,62,AB,17,1
-114.01333333333334,51.1225,CALGARY INTL A,2016-06-01 01:00:00,,3031092,ND,,3031092.2016.6.1.1,1,2016,NA,2016-06-01T08:00:00,,8.1,,,6,,89.04,24.1,,2.8,2016,11,,1,,,,,,6,69,AB,17,1
-114.01333333333334,51.1225,CALGARY INTL A,2016-06-01 02:00:00,,3031092,Dégagé,,3031092.2016.6.1.2,2,2016,Clear,2016-06-01T09:00:00,,7.2,,,6,,88.97,24.1,,2.5,2016,12,,1,,,,,,6,72,AB,18,1
-114.01333333333334,51.1225,CALGARY INTL A,2016-06-01 03:00:00,,3031092,ND,,3031092.2016.6.1.3,3,2016,NA,2016-06-01T10:00:00,,7.2,,,6,,88.92,24.1,,2.7,2016,9,,1,,,,,,6,73,AB,18,1
