x,y,TEMP,ID,STATION_NAME,CLIMATE_IDENTIFIER,RELATIVE_HUMIDITY,DEW_POINT_TEMP_FLAG,UTC_DAY,UTC_YEAR,WIND_DIRECTION_FLAG,PRECIP_AMOUNT_FLAG,PRECIP_AMOUNT,UTC_MONTH,HUMIDEX,LOCAL_HOUR,STATION_PRESSURE_FLAG,DEW_POINT_TEMP,LOCAL_YEAR,RELATIVE_HUMIDITY_FLAG,VISIBILITY_FLAG,WIND_SPEED_FLAG,WIND_DIRECTION,LOCAL_DATE,LOCAL_DAY,WINDCHILL,WEATHER_FRE_DESC,WIND_SPEED,HUMIDEX_FLAG,LOCAL_MONTH,VISIBILITY,STATION_PRESSURE,PROVINCE_CODE,WEATHER_ENG_DESC,UTC_DATE,WINDCHILL_FLAG,TEMP_FLAG
-114.01333333333334,51.1225,25.6,3031092.2017.7.22.19,CALGARY INTL A,3031092,30,,23,2017,,,,7,26,19,,7.1,2017,,,,30,2017-07-22 19:00:00,22,,ND,22,,7,32.2,89.11,AB,NA,2017-07-23T02:00:00,,
-114.01333333333334,51.1225,24.2,3031092.2017.7.22.20,CALGARY INTL A,3031092,32,,23,2017,,,,7,,20,,6.9,2017,,,,31,2017-07-22 20:00:00,22,,Généralement nuageux,17,,7,32.2,89.12,AB,Mostly Cloudy,2017-07-23T03:00:00,,
-114.01333333333334,51.1225,22.9,3031092.2017.7.22.21,CALGARY INTL A,3031092,34,,23,2017,,,,7,,21,,6.4,2017,,,,31,2017-07-22 21:00:00,22,,ND,21,,7,24.1,89.17,AB,NA,2017-07-23T04:00:00,,
-114.01333333333334,51.1225,21.8,3031092.2017.7.22.22,CALGARY INTL A,3031092,37,,23,2017,,,,7,,22,,6.6,2017,,,,30,2017-07-22 22:00:00,22,,ND,17,,7,24.1,89.16,AB,NA,2017-07-23T05:00:00,,
-114.01333333333334,51.1225,21.3,3031092.2017.7.22.23,CALGARY INTL A,3031092,38,,23,2017,,,,7,,23,,6.5,2017,,,,29,2017-07-22 23:00:00,22,,Dégagé,13,,7,24.1,89.14,AB,Clear,2017-07-23T06:00:00,,
-114.01333333333334,51.1225,20.8,3031092.2017.7.23.0,CALGARY INTL A,3031092,39,,23,2017,,,,7,,0,,6.5,2017,,,,27,2017-07-23 00:00:00,23,,ND,7,,7,24.1,89.11,AB,NA,2017-07-23T07:00:00,,
-114.01333333333334,51.1225,19.4,3031092.2017.7.23.1,CALGARY INTL A,3031092,44,,23,2017,,,,7,,1,,7.1,2017,,,,30,2017-07-23 01:00:00,23,,ND,5,,7,24.1,89.1,AB,NA,2017-07-23T08:00:00,,
-114.01333333333334,51.1225,17.1,3031092.2017.7.23.2,CALGARY INTL A,3031092,54,,23,2017,,,,7,,2,,7.9,2017,,,,12,2017-07-23 02:00:00,23,,Généralement nuageux,4,,7,24.1,89.07,AB,Mostly Cloudy,2017-07-23T09:00:00,,
-114.01333333333334,51.1225,17.2,3031092.2017.7.23.3,CALGARY INTL A,3031092,54,,23,2017,,,,7,,3,,7.8,2017,,,,21,2017-07-23 03:00:00,23,,ND,10,,7,24.1,89.01,AB,NA,2017-07-23T10:00:00,,
-114.01333333333334,51.1225,17.7,3031092.2017.7.23.4,CALGARY INTL A,3031092,50,,23,2017,,,,7,,4,,7.3,2017,,,,23,2017-07-23 04:00:00,23,,ND,12,,7,24.1,88.99,AB,NA,2017-07-23T11:00:00,,
-114.01333333333334,51.1225,14.4,3031092.2017.7.23.5,CALGARY INTL A,3031092,68,,23,2017,,,,7,,5,,8.5,2017,,,,36,2017-07-23 05:00:00,23,,Généralement nuageux,3,,7,32.2,88.98,AB,Mostly Cloudy,2017-07-23T12:00:00,,
-114.01333333333334,51.1225,16.3,3031092.2017.7.23.6,CALGARY INTL A,3031092,59,,23,2017,,,,7,,6,,8.3,2017,,,,23,2017-07-23 06:00:00,23,,ND,5,,7,32.2,88.97,AB,NA,2017-07-23T13:00:00,,
-114.01333333333334,51.1225,19.8,3031092.2017.7.23.7,CALGARY INTL A,3031092,46,,23,2017,,,,7,,7,,8.1,2017,,,,26,2017-07-23 07:00:00,23,,ND,5,,7,64.4,88.95,AB,NA,2017-07-23T14:00:00,,
-114.01333333333334,51.1225,21.3,3031092.2017.7.23.8,CALGARY INTL A,3031092,44,,23,2017,,,,7,,8,,8.8,2017,,,,8,2017-07-23 08:00:00,23,,Généralement dégagé,4,,7,64.4,88.92,AB,Mainly Clear,2017-07-23T15:00:00,,
-114.01333333333334,51.1225,23.4,3031092.2017.7.23.9,CALGARY INTL A,3031092,44,,23,2017,,,,7,25,9,,10.7,2017,,,,3,2017-07-23 09:00:00,23,,ND,6,,7,64.4,88.87,AB,NA,2017-07-23T16:00:00,,
-114.01333333333334,51.1225,25.1,3031092.2017.7.23.10,CALGARY INTL A,3031092,42,,23,2017,,,,7,27,10,,11.3,2017,,,,2,2017-07-23 10:00:00,23,,ND,3,,7,64.4,88.81,AB,NA,2017-07-23T17:00:00,,
-114.01333333333334,51.1225,26.6,3031092.2017.7.23.11,CALGARY INTL A,3031092,38,,23,2017,,,,7,29,11,,11.4,2017,,,,8,2017-07-23 11:00:00,23,,Généralement dégagé,7,,7,64.4,88.73,AB,Mainly Clear,2017-07-23T18:00:00,,
-114.01333333333334,51.1225,27.8,3031092.2017.7.23.12,CALGARY INTL A,3031092,29,,23,2017,,,,7,28,12,,8.6,2017,,,,19,2017-07-23 12:00:00,23,,ND,7,,7,64.4,88.65,AB,NA,2017-07-23T19:00:00,,
-114.01333333333334,51.1225,29.3,3031092.2017.7.23.13,CALGARY INTL A,3031092,28,,23,2017,,,,7,30,13,,9.0,2017,,,,18,2017-07-23 13:00:00,23,,ND,13,,7,64.4,88.56,AB,NA,2017-07-23T20:00:00,,
-114.01333333333334,51.1225,27.8,3031092.2017.7.23.14,CALGARY INTL A,3031092,29,,23,2017,,,,7,28,14,,8.5,2017,,,,2,2017-07-23 14:00:00,23,,Généralement nuageux,9,,7,64.4,88.47,AB,Mostly Cloudy,2017-07-23T21:00:00,,
-114.01333333333334,51.1225,29.7,3031092.2017.7.23.15,CALGARY INTL A,3031092,29,,23,2017,,,,7,31,15,,9.9,2017,,,,0,2017-07-23 15:00:00,23,,ND,0,,7,64.4,88.4,AB,NA,2017-07-23T22:00:00,,
-114.01333333333334,51.1225,28.7,3031092.2017.7.23.16,CALGARY INTL A,3031092,25,,23,2017,,,,7,29,16,,6.9,2017,,,,24,2017-07-23 16:00:00,23,,ND,9,,7,64.4,88.31,AB,NA,2017-07-23T23:00:00,,
-114.01333333333334,51.1225,30.2,3031092.2017.7.23.17,CALGARY INTL A,3031092,22,,24,2017,,,,7,30,17,,6.3,2017,,,,30,2017-07-23 17:00:00,23,,Généralement nuageux,13,,7,64.4,88.24,AB,Mostly Cloudy,2017-07-24T00:00:00,,
-114.01333333333334,51.1225,28.5,3031092.2017.7.23.18,CALGARY INTL A,3031092,24,,24,2017,,,,7,28,18,,6.6,2017,,,,31,2017-07-23 18:00:00,23,,ND,21,,7,64.4,88.21,AB,NA,2017-07-24T01:00:00,,
-114.01333333333334,51.1225,27.3,3031092.2017.7.23.19,CALGARY INTL A,3031092,25,,24,2017,,,,7,27,19,,5.8,2017,,,,34,2017-07-23 19:00:00,23,,ND,14,,7,64.4,88.18,AB,NA,2017-07-24T02:00:00,,
-114.01333333333334,51.1225,24.5,3031092.2017.7.23.20,CALGARY INTL A,3031092,43,,24,2017,,,,7,26,20,,11.3,2017,,,,34,2017-07-23 20:00:00,23,,Généralement nuageux,32,,7,48.3,88.27,AB,Mostly Cloudy,2017-07-24T03:00:00,,
-114.01333333333334,51.1225,11.4,3031092.2017.7.23.22,CALGARY INTL A,3031092,76,,24,2017,,,,7,,22,,7.3,2017,,,,34,2017-07-23 22:00:00,23,,Averses de pluie,45,,7,11.3,88.81,AB,Rain Showers,2017-07-24T05:00:00,,
-114.01333333333334,51.1225,9.9,3031092.2017.7.23.23,CALGARY INTL A,3031092,71,,24,2017,,,,7,,23,,4.9,2017,,,,35,2017-07-23 23:00:00,23,,Averses de pluie,52,,7,11.3,88.94,AB,Rain Showers,2017-07-24T06:00:00,,
-114.01333333333334,51.1225,7.7,3031092.2017.7.24.0,CALGARY INTL A,3031092,87,,24,2017,,,,7,,0,,5.7,2017,,,,34,2017-07-24 00:00:00,24,,Averses de pluie,33,,7,11.3,88.97,AB,Rain Showers,2017-07-24T07:00:00,,
-114.01333333333334,51.1225,7.9,3031092.2017.7.24.1,CALGARY INTL A,3031092,81,,24,2017,,,,7,,1,,4.9,2017,,,,34,2017-07-24 01:00:00,24,,ND,29,,7,16.1,88.98,AB,NA,2017-07-24T08:00:00,,
-114.01333333333334,51.1225,7.0,3031092.2017.7.24.2,CALGARY INTL A,3031092,80,,24,2017,,,,7,,2,,3.9,2017,,,,34,2017-07-24 02:00:00,24,,Dégagé,10,,7,24.1,88.95,AB,Clear,2017-07-24T09:00:00,,
-114.01333333333334,51.1225,7.2,3031092.2017.7.24.3,CALGARY INTL A,3031092,76,,24,2017,,,,7,,3,,3.2,2017,,,,34,2017-07-24 03:00:00,24,,ND,14,,7,24.1,88.94,AB,NA,2017-07-24T10:00:00,,
-114.01333333333334,51.1225,7.0,3031092.2017.7.24.4,CALGARY INTL A,3031092,73,,24,2017,,,,7,,4,,2.5,2017,,,,34,2017-07-24 04:00:00,24,,ND,16,,7,24.1,88.92,AB,NA,2017-07-24T11:00:00,,
-114.01333333333334,51.1225,6.5,3031092.2017.7.24.5,CALGARY INTL A,3031092,74,,24,2017,,,,7,,5,,2.2,2017,,,,34,2017-07-24 05:00:00,24,,Dégagé,10,,7,64.4,88.93,AB,Clear,2017-07-24T12:00:00,,
-114.01333333333334,51.1225,8.1,3031092.2017.7.24.6,CALGARY INTL A,3031092,68,,24,2017,,,,7,,6,,2.6,2017,,,,34,2017-07-24 06:00:00,24,,ND,12,,7,64.4,88.94,AB,NA,2017-07-24T13:00:00,,
-114.01333333333334,51.1225,10.7,3031092.2017.7.24.7,CALGARY INTL A,3031092,58,,24,2017,,,,7,,7,,2.8,2017,,,,31,2017-07-24 07:00:00,24,,ND,11,,7,64.4,88.99,AB,NA,2017-07-24T14:00:00,,
-114.01333333333334,51.1225,11.6,3031092.2017.7.24.8,CALGARY INTL A,3031092,55,,24,2017,,,,7,,8,,2.9,2017,,,,34,2017-07-24 08:00:00,24,,Dégagé,10,,7,64.4,88.98,AB,Clear,2017-07-24T15:00:00,,
-114.01333333333334,51.1225,13.4,3031092.2017.7.24.9,CALGARY INTL A,3031092,50,,24,2017,,,,7,,9,,3.2,2017,,,,25,2017-07-24 09:00:00,24,,ND,9,,7,64.4,88.95,AB,NA,2017-07-24T16:00:00,,
-114.01333333333334,51.1225,14.6,3031092.2017.7.24.10,CALGARY INTL A,3031092,49,,24,2017,,,,7,,10,,4.1,2017,,,,26,2017-07-24 10:00:00,24,,ND,6,,7,64.4,88.93,AB,NA,2017-07-24T17:00:00,,
-114.01333333333334,51.1225,16.9,3031092.2017.7.24.11,CALGARY INTL A,3031092,40,,24,2017,,,,7,,11,,3.2,2017,,,,24,2017-07-24 11:00:00,24,,Dégagé,12,,7,64.4,88.88,AB,Clear,2017-07-24T18:00:00,,
