x,y,STATION_PRESSURE_FLAG,WIND_SPEED,PROVINCE_CODE,ID,UTC_DAY,WEATHER_FRE_DESC,WIND_SPEED_FLAG,UTC_DATE,HUMIDEX,STATION_PRESSURE,LOCAL_MONTH,RELATIVE_HUMIDITY,DEW_POINT_TEMP,WEATHER_ENG_DESC,LOCAL_DAY,RELATIVE_HUMIDITY_FLAG,PRECIP_AMOUNT,WIND_DIRECTION,VISIBILITY,VISIBILITY_FLAG,WINDCHILL_FLAG,CLIMATE_IDENTIFIER,UTC_MONTH,LOCAL_YEAR,WINDCHILL,WIND_DIRECTION_FLAG,PRECIP_AMOUNT_FLAG,LOCAL_HOUR,UTC_YEAR,DEW_POINT_TEMP_FLAG,LOCAL_DATE,STATION_NAME,TEMP,HUMIDEX_FLAG,TEMP_FLAG
-114.01333333333334,51.1225,,9,AB,3031092.2019.11.4.7,4,Neige,,2019-11-04T14:00:00,,89.27,11,93,-3.4,Snow,4,,,18,4.8,,,3031092,11,2019,-6,,,7,2019,,2019-11-04 07:00:00,CALGARY INTL A,-2.4,,
-114.01333333333334,51.1225,,9,AB,3031092.2019.11.4.8,4,"Neige,Brouillard",,2019-11-04T15:00:00,,89.29,11,93,-3.0,"Snow,Fog",4,,,20,6.4,,,3031092,11,2019,-5,,,8,2019,,2019-11-04 08:00:00,CALGARY INTL A,-2.0,,
-114.01333333333334,51.1225,,13,AB,3031092.2019.11.4.9,4,"Neige,Brouillard",,2019-11-04T16:00:00,,89.27,11,92,-3.0,"Snow,Fog",4,,,20,4.8,,,3031092,11,2019,-6,,,9,2019,,2019-11-04 09:00:00,CALGARY INTL A,-1.8,,
-114.01333333333334,51.1225,,12,AB,3031092.2019.11.4.10,4,Brouillard,,2019-11-04T17:00:00,,89.29,11,91,-2.6,Fog,4,,,18,8.1,,,3031092,11,2019,-5,,,10,2019,,2019-11-04 10:00:00,CALGARY INTL A,-1.3,,
-114.01333333333334,51.1225,,10,AB,3031092.2019.11.4.11,4,Nuageux,,2019-11-04T18:00:00,,89.27,11,90,-2.6,Cloudy,4,,,18,11.3,,,3031092,11,2019,-5,,,11,2019,,2019-11-04 11:00:00,CALGARY INTL A,-1.2,,
-114.01333333333334,51.1225,,12,AB,3031092.2019.11.4.12,4,ND,,2019-11-04T19:00:00,,89.22,11,87,-2.5,NA,4,,,17,16.1,,,3031092,11,2019,-5,,,12,2019,,2019-11-04 12:00:00,CALGARY INTL A,-0.6,,
-114.01333333333334,51.1225,,12,AB,3031092.2019.11.4.13,4,ND,,2019-11-04T20:00:00,,89.13,11,88,-2.0,NA,4,,,17,24.1,,,3031092,11,2019,-4,,,13,2019,,2019-11-04 13:00:00,CALGARY INTL A,-0.2,,
-114.01333333333334,51.1225,,16,AB,3031092.2019.11.4.14,4,Nuageux,,2019-11-04T21:00:00,,89.08,11,84,-2.5,Cloudy,4,,,17,24.1,,,3031092,11,2019,-5,,,14,2019,,2019-11-04 14:00:00,CALGARY INTL A,-0.1,,
-114.01333333333334,51.1225,,14,AB,3031092.2019.11.4.15,4,ND,,2019-11-04T22:00:00,,89.04,11,85,-2.5,NA,4,,,16,24.1,,,3031092,11,2019,-5,,,15,2019,,2019-11-04 15:00:00,CALGARY INTL A,-0.4,,
-114.01333333333334,51.1225,,17,AB,3031092.2019.11.4.16,4,ND,,2019-11-04T23:00:00,,89.02,11,85,-2.5,NA,4,,,19,24.1,,,3031092,11,2019,-5,,,16,2019,,2019-11-04 16:00:00,CALGARY INTL A,-0.3,,
-114.01333333333334,51.1225,,14,AB,3031092.2019.11.4.17,5,Nuageux,,2019-11-05T00:00:00,,88.96,11,85,-3.0,Cloudy,4,,,16,16.1,,,3031092,11,2019,-5,,,17,2019,,2019-11-04 17:00:00,CALGARY INTL A,-0.8,,
-114.01333333333334,51.1225,,14,AB,3031092.2019.11.4.18,5,ND,,2019-11-05T01:00:00,,88.96,11,88,-2.7,NA,4,,,18,16.1,,,3031092,11,2019,-5,,,18,2019,,2019-11-04 18:00:00,CALGARY INTL A,-1.0,,
-114.01333333333334,51.1225,,15,AB,3031092.2019.11.4.19,5,Brouillard,,2019-11-05T02:00:00,,88.96,11,90,-2.5,Fog,4,,,15,9.7,,,3031092,11,2019,-6,,,19,2019,,2019-11-04 19:00:00,CALGARY INTL A,-1.1,,
-114.01333333333334,51.1225,,6,AB,3031092.2019.11.4.20,5,Brouillard,,2019-11-05T03:00:00,,88.97,11,91,-2.4,Fog,4,,,17,8.1,,,3031092,11,2019,-3,,,20,2019,,2019-11-04 20:00:00,CALGARY INTL A,-1.1,,
-114.01333333333334,51.1225,,4,AB,3031092.2019.11.4.21,5,"Neige,Brouillard",,2019-11-05T04:00:00,,89.01,11,91,-2.4,"Snow,Fog",4,,,18,8.1,,,3031092,11,2019,-2,,,21,2019,,2019-11-04 21:00:00,CALGARY INTL A,-1.0,,
-114.01333333333334,51.1225,,6,AB,3031092.2019.11.4.22,5,"Neige,Brouillard",,2019-11-05T05:00:00,,89.03,11,91,-2.2,"Snow,Fog",4,,,19,8.1,,,3031092,11,2019,-3,,,22,2019,,2019-11-04 22:00:00,CALGARY INTL A,-0.9,,
-114.01333333333334,51.1225,,8,AB,3031092.2019.11.4.23,5,"Neige,Brouillard",,2019-11-05T06:00:00,,89.05,11,91,-2.1,"Snow,Fog",4,,,22,6.4,,,3031092,11,2019,-4,,,23,2019,,2019-11-04 23:00:00,CALGARY INTL A,-0.8,,
-114.01333333333334,51.1225,,14,AB,3031092.2019.11.5.0,5,"Neige,Brouillard",,2019-11-05T07:00:00,,89.02,11,89,-2.5,"Snow,Fog",5,,,23,8.1,,,3031092,11,2019,-5,,,0,2019,,2019-11-05 00:00:00,CALGARY INTL A,-0.9,,
-114.01333333333334,51.1225,,10,AB,3031092.2019.11.5.1,5,Neige,,2019-11-05T08:00:00,,89.02,11,90,-2.6,Snow,5,,,23,8.1,,,3031092,11,2019,-5,,,1,2019,,2019-11-05 01:00:00,CALGARY INTL A,-1.1,,
