x,y,UTC_DATE,UTC_DAY,WINDCHILL_FLAG,LOCAL_HOUR,WIND_SPEED_FLAG,WIND_SPEED,HUMIDEX,ID,PROVINCE_CODE,WEATHER_ENG_DESC,TEMP_FLAG,LOCAL_YEAR,PRECIP_AMOUNT_FLAG,LOCAL_DAY,HUMIDEX_FLAG,STATION_PRESSURE_FLAG,UTC_YEAR,VISIBILITY_FLAG,WIND_DIRECTION_FLAG,TEMP,UTC_MONTH,CLIMATE_IDENTIFIER,DEW_POINT_TEMP_FLAG,WINDCHILL,RELATIVE_HUMIDITY_FLAG,WIND_DIRECTION,PRECIP_AMOUNT,DEW_POINT_TEMP,STATION_PRESSURE,LOCAL_DATE,LOCAL_MONTH,WEATHER_FRE_DESC,RELATIVE_HUMIDITY,VISIBILITY,STATION_NAME
-113.57944444444445,53.31,2018-06-04T18:00:00,4,,11,,30,,3012216.2018.6.4.11,AB,Mostly Cloudy,,2018,,4,,,2018,,,17.7,6,3012216,,,,32,,6.0,92.12,2018-06-04 11:00:00,6,Généralement nuageux,46,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-04T19:00:00,4,,12,,24,,3012216.2018.6.4.12,AB,NA,,2018,,4,,,2018,,,17.0,6,3012216,,,,32,,5.2,92.14,2018-06-04 12:00:00,6,ND,45,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-04T20:00:00,4,,13,,26,,3012216.2018.6.4.13,AB,NA,,2018,,4,,,2018,,,18.6,6,3012216,,,,33,,4.6,92.11,2018-06-04 13:00:00,6,ND,39,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-04T21:00:00,4,,14,,26,,3012216.2018.6.4.14,AB,Mostly Cloudy,,2018,,4,,,2018,,,19.2,6,3012216,,,,32,,4.1,92.16,2018-06-04 14:00:00,6,Généralement nuageux,37,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-04T22:00:00,4,,15,,26,,3012216.2018.6.4.15,AB,NA,,2018,,4,,,2018,,,17.8,6,3012216,,,,25,,5.6,92.23,2018-06-04 15:00:00,6,ND,44,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-04T23:00:00,4,,16,,17,,3012216.2018.6.4.16,AB,NA,,2018,,4,,,2018,,,18.1,6,3012216,,,,32,,6.1,92.22,2018-06-04 16:00:00,6,ND,45,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-05T00:00:00,5,,17,,13,,3012216.2018.6.4.17,AB,Mostly Cloudy,,2018,,4,,,2018,,,17.5,6,3012216,,,,31,,5.5,92.27,2018-06-04 17:00:00,6,Généralement nuageux,45,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-05T01:00:00,5,,18,,36,,3012216.2018.6.4.18,AB,NA,,2018,,4,,,2018,,,13.7,6,3012216,,,,31,,4.2,92.36,2018-06-04 18:00:00,6,ND,52,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-05T02:00:00,5,,19,,17,,3012216.2018.6.4.19,AB,Rain Showers,,2018,,4,,,2018,,,10.6,6,3012216,,,,25,,6.5,92.47,2018-06-04 19:00:00,6,Averses de pluie,76,19.3,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-05T03:00:00,5,,20,,15,,3012216.2018.6.4.20,AB,Mostly Cloudy,,2018,,4,,,2018,,,10.9,6,3012216,,,,14,,6.7,92.37,2018-06-04 20:00:00,6,Généralement nuageux,75,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-05T04:00:00,5,,21,,4,,3012216.2018.6.4.21,AB,NA,,2018,,4,,,2018,,,9.5,6,3012216,,,,20,,7.1,92.44,2018-06-04 21:00:00,6,ND,85,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-05T05:00:00,5,,22,,10,,3012216.2018.6.4.22,AB,NA,,2018,,4,,,2018,,,8.3,6,3012216,,,,23,,7.3,92.51,2018-06-04 22:00:00,6,ND,93,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-05T06:00:00,5,,23,,7,,3012216.2018.6.4.23,AB,Mostly Cloudy,,2018,,4,,,2018,,,6.7,6,3012216,,,,17,,5.9,92.56,2018-06-04 23:00:00,6,Généralement nuageux,95,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-05T07:00:00,5,,0,,8,,3012216.2018.6.5.0,AB,NA,,2018,,5,,,2018,,,8.3,6,3012216,,,,13,,6.2,92.6,2018-06-05 00:00:00,6,ND,87,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-05T08:00:00,5,,1,,12,,3012216.2018.6.5.1,AB,NA,,2018,,5,,,2018,,,7.5,6,3012216,,,,15,,5.8,92.62,2018-06-05 01:00:00,6,ND,89,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-05T09:00:00,5,,2,,0,,3012216.2018.6.5.2,AB,Rain Showers,,2018,,5,,,2018,,,8.1,6,3012216,,,,0,,6.5,92.66,2018-06-05 02:00:00,6,Averses de pluie,89,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-05T10:00:00,5,,3,,0,,3012216.2018.6.5.3,AB,NA,,2018,,5,,,2018,,,6.9,6,3012216,,,,0,,5.7,92.65,2018-06-05 03:00:00,6,ND,92,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-05T11:00:00,5,,4,,8,,3012216.2018.6.5.4,AB,NA,,2018,,5,,,2018,,,6.3,6,3012216,,,,25,,5.7,92.66,2018-06-05 04:00:00,6,ND,96,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-05T12:00:00,5,,5,,7,,3012216.2018.6.5.5,AB,Mostly Cloudy,,2018,,5,,,2018,,,7.2,6,3012216,,,,27,,5.5,92.72,2018-06-05 05:00:00,6,Généralement nuageux,89,24.1,EDMONTON INTL A
-113.57944444444445,53.31,2018-06-05T13:00:00,5,,6,,7,,3012216.2018.6.5.6,AB,NA,,2018,,5,,,2018,,,8.3,6,3012216,,,,27,,6.0,92.76,2018-06-05 06:00:00,6,ND,85,24.1,EDMONTON INTL A
