x,y,TEMP,VISIBILITY_FLAG,RELATIVE_HUMIDITY,UTC_DATE,ID,TEMP_FLAG,UTC_YEAR,LOCAL_MONTH,WEATHER_FRE_DESC,VISIBILITY,WIND_DIRECTION,CLIMATE_IDENTIFIER,PRECIP_AMOUNT,LOCAL_DATE,WIND_DIRECTION_FLAG,DEW_POINT_TEMP_FLAG,PROVINCE_CODE,RELATIVE_HUMIDITY_FLAG,LOCAL_YEAR,HUMIDEX_FLAG,WINDCHILL,UTC_MONTH,HUMIDEX,WIND_SPEED_FLAG,UTC_DAY,STATION_NAME,WIND_SPEED,WEATHER_ENG_DESC,STATION_PRESSURE,LOCAL_HOUR,STATION_PRESSURE_FLAG,WINDCHILL_FLAG,DEW_POINT_TEMP,LOCAL_DAY,PRECIP_AMOUNT_FLAG
-113.57944444444445,53.31,10.1,,60,2021-11-05T21:00:00,3012216.2021.11.5.14,,2021,11,Généralement dégagé,32.2,24,3012216,,2021-11-05 14:00:00,,,AB,,2021,,,11,,,5,EDMONTON INTL A,8,Mainly Clear,92.02,14,,,2.6,5,
-113.57944444444445,53.31,11.2,,57,2021-11-05T22:00:00,3012216.2021.11.5.15,,2021,11,ND,32.2,22,3012216,,2021-11-05 15:00:00,,,AB,,2021,,,11,,,5,EDMONTON INTL A,3,NA,91.97,15,,,3.1,5,
-113.57944444444445,53.31,10.7,,59,2021-11-05T23:00:00,3012216.2021.11.5.16,,2021,11,ND,32.2,14,3012216,,2021-11-05 16:00:00,,,AB,,2021,,,11,,,5,EDMONTON INTL A,7,NA,91.94,16,,,3.0,5,
-113.57944444444445,53.31,4.8,,78,2021-11-06T00:00:00,3012216.2021.11.5.17,,2021,11,Généralement dégagé,32.2,17,3012216,,2021-11-05 17:00:00,,,AB,,2021,,,11,,,6,EDMONTON INTL A,7,Mainly Clear,91.96,17,,,1.3,5,
-113.57944444444445,53.31,0.0,,90,2021-11-06T01:00:00,3012216.2021.11.5.18,,2021,11,ND,32.2,15,3012216,,2021-11-05 18:00:00,,,AB,,2021,,-3,11,,,6,EDMONTON INTL A,8,NA,91.97,18,,,-1.3,5,
-113.57944444444445,53.31,-0.4,,94,2021-11-06T02:00:00,3012216.2021.11.5.19,,2021,11,ND,32.2,15,3012216,,2021-11-05 19:00:00,,,AB,,2021,,-2,11,,,6,EDMONTON INTL A,5,NA,91.97,19,,,-1.2,5,
-113.57944444444445,53.31,0.2,,89,2021-11-06T03:00:00,3012216.2021.11.5.20,,2021,11,Généralement dégagé,32.2,36,3012216,,2021-11-05 20:00:00,,,AB,,2021,,,11,,,6,EDMONTON INTL A,3,Mainly Clear,91.93,20,,,-1.3,5,
-113.57944444444445,53.31,-0.2,,92,2021-11-06T04:00:00,3012216.2021.11.5.21,,2021,11,ND,32.2,20,3012216,,2021-11-05 21:00:00,,,AB,,2021,,-4,11,,,6,EDMONTON INTL A,12,NA,91.91,21,,,-1.3,5,
-113.57944444444445,53.31,-1.8,,96,2021-11-06T05:00:00,3012216.2021.11.5.22,,2021,11,ND,32.2,36,3012216,,2021-11-05 22:00:00,,,AB,,2021,,-4,11,,,6,EDMONTON INTL A,6,NA,91.92,22,,,-2.4,5,
-113.57944444444445,53.31,-1.1,,99,2021-11-06T06:00:00,3012216.2021.11.5.23,,2021,11,Généralement dégagé,32.2,36,3012216,,2021-11-05 23:00:00,,,AB,,2021,,-2,11,,,6,EDMONTON INTL A,2,Mainly Clear,91.96,23,,,-1.2,5,
-113.57944444444445,53.31,-1.6,,99,2021-11-06T07:00:00,3012216.2021.11.6.0,,2021,11,ND,32.2,11,3012216,,2021-11-06 00:00:00,,,AB,,2021,,-6,11,,,6,EDMONTON INTL A,14,NA,91.95,0,,,-1.7,6,
